Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,498.50,505.00,487.55,494.50,496.561636548331907613,374080,13109,185753777.00,48683,13.01,17.45,-4.00
27-January-2015,485.65,498.45,480.05,496.90,492.561700103911164098,306993,10023,151212994.00,90520,29.49,18.40,11.25
23-January-2015,483.10,494.75,481.80,485.65,487.442018389138160169,240033,7545,117002170.00,46476,19.36,12.95,2.55
22-January-2015,483.90,489.35,479.50,482.75,483.999356753358770814,136806,4942,66214016.00,25003,18.28,9.85,-1.15
21-January-2015,493.00,494.00,481.00,483.65,485.275382643704448462,231743,9873,112459173.00,57314,24.73,13.00,-9.35
20-January-2015,496.10,499.80,486.25,490.60,492.236582669273174519,261397,9889,128669166.00,49276,18.85,13.55,-5.50
19-January-2015,489.75,495.50,487.00,493.60,492.447408601122598090,366115,12018,180292383.00,82887,22.64,8.50,3.85
16-January-2015,468.40,491.25,465.00,486.75,485.064167192025059595,812144,23289,393941953.00,186011,22.90,26.25,18.35
15-January-2015,467.65,472.15,459.30,466.20,466.240311726033791931,385595,10562,179779933.00,113393,29.41,12.85,-1.45
14-January-2015,464.15,466.45,449.80,453.95,456.279948832747041893,594130,17836,271089606.00,123694,20.82,16.65,-10.20
13-January-2015,460.20,469.25,458.00,462.70,463.631036518945326110,272653,8201,126410393.00,55118,20.22,11.25,2.50
12-January-2015,464.70,465.70,456.25,460.20,461.231334871844183040,374388,10684,172679477.00,67298,17.98,9.45,-4.50
9-January-2015,473.00,479.15,469.30,472.50,474.103177615235992271,347808,13401,164896878.00,93431,26.86,9.85,-0.50
8-January-2015,465.10,470.65,461.30,468.75,467.285205255294424550,337336,10244,157632122.00,67684,20.06,9.35,3.65
7-January-2015,447.80,462.00,439.40,457.50,450.485762039424121626,528306,15444,237994331.00,54874,10.39,22.60,9.70
6-January-2015,465.90,468.00,445.45,448.35,455.954205590433073917,438678,12924,200017079.00,86184,19.65,22.55,-17.55
5-January-2015,469.00,479.70,468.30,470.05,473.702493611157143729,458612,12552,217245648.00,92734,20.22,11.40,1.05
2-January-2015,440.90,469.00,440.90,466.95,458.234726654754390799,674934,18368,309278197.00,136383,20.21,28.10,26.05
1-January-2015,435.70,439.95,433.80,438.15,437.781364129898331852,151965,4220,66527445.00,41444,27.27,6.15,2.45
31-December-2014,434.00,438.20,434.00,435.80,436.026652291645772740,159536,5019,69561948.00,27254,17.08,4.20,1.80
30-December-2014,418.90,434.00,417.20,431.75,428.108991629119817236,346678,9599,148415969.00,55503,16.01,16.80,12.85
29-December-2014,418.00,422.70,417.05,418.90,419.866541318390825995,107434,3182,45107942.00,22289,20.75,5.65,0.90
26-December-2014,419.00,421.65,414.20,417.50,417.655841892312480547,160650,4524,67096411.00,20834,12.97,7.45,-1.50
24-December-2014,417.00,422.80,409.05,417.20,416.838440215332698201,348484,9289,145261527.00,47311,13.58,13.75,0.20
23-December-2014,419.45,426.30,411.65,413.75,417.671540677804791527,231158,7057,96548118.00,38716,16.75,14.65,-5.70
22-December-2014,425.00,426.75,412.55,419.75,418.931814405732819960,276862,8690,115986300.00,35491,12.82,14.20,-5.25
19-December-2014,425.00,434.00,418.00,422.30,427.817094388864723792,298870,9285,127861695.00,56865,19.03,16.00,-2.70
18-December-2014,414.00,424.55,405.60,421.05,416.174755689523023406,542752,14626,225879681.00,67231,12.39,18.95,7.05
17-December-2014,396.20,408.90,377.00,401.85,396.854207487485028101,651220,20252,258439397.00,49291,7.57,31.90,5.65
16-December-2014,435.00,435.25,394.10,397.15,406.684098279109052000,685517,18980,278788863.00,111081,16.20,41.15,-37.85
15-December-2014,433.90,443.65,431.40,435.30,437.228094930925119604,297648,7962,130140068.00,77725,26.11,12.25,1.40
12-December-2014,454.00,455.70,435.00,437.30,446.256308964434248138,326044,8672,145499192.00,46633,14.30,20.70,-16.70
11-December-2014,460.00,460.10,446.70,452.50,453.803676320604955169,338273,10125,153509531.00,33784,9.99,13.40,-7.50
10-December-2014,431.00,463.30,428.00,460.40,452.604678367128609005,770226,21669,348607891.00,89061,11.56,35.30,29.40
9-December-2014,438.25,439.00,429.85,433.15,434.568008545803554967,184418,5788,80142163.00,26886,14.58,9.15,-5.10
8-December-2014,432.00,438.80,425.30,436.10,433.403459897634225346,183069,5572,79342738.00,22169,12.11,13.50,4.10
5-December-2014,427.10,437.90,425.20,431.90,432.456149169758243418,423732,10730,183245509.00,125923,29.72,12.70,4.80
4-December-2014,435.00,440.85,428.80,430.60,434.358550605189033949,235381,6919,102239750.00,49613,21.08,12.05,-4.40
