Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,885.10,909.75,885.00,905.85,896.783527012022648600,398082,19173,356993380.00,149781,37.63,24.75,20.75
27-January-2015,890.20,896.90,880.90,888.75,888.779595022065215278,360069,17768,320021980.00,171247,47.56,16.00,-1.45
23-January-2015,890.00,896.90,877.45,886.95,887.543460567076419170,405448,17925,359852721.00,138150,34.07,19.45,-3.05
22-January-2015,905.20,906.95,879.35,884.10,888.948593580195802616,425122,16826,377911604.00,236903,55.73,27.60,-21.10
21-January-2015,904.00,909.20,892.30,904.65,902.922351798675585396,358347,20303,323559516.00,92453,25.80,16.90,0.65
20-January-2015,882.80,903.75,878.60,901.15,893.910622110140875525,397727,20319,355532390.00,102967,25.89,25.15,18.35
19-January-2015,870.00,885.75,859.05,879.85,876.950082742984220196,460462,20417,403802189.00,115616,25.11,26.70,9.85
16-January-2015,861.00,874.05,852.15,869.00,866.335179668826786158,394114,18515,341434823.00,118030,29.95,21.90,8.00
15-January-2015,841.25,870.20,841.10,864.60,857.321925239862552531,574183,22637,492259675.00,235278,40.98,29.10,23.35
14-January-2015,843.10,846.90,831.10,835.05,835.200744788794694425,669183,17722,558902140.00,407411,60.88,15.80,-8.05
13-January-2015,852.75,854.45,840.65,843.05,844.716737011237955151,426946,12635,360648432.00,201483,47.19,13.80,-9.70
12-January-2015,862.50,863.00,842.35,850.55,846.929591577072332845,503008,16807,426012360.00,256599,51.01,20.65,-11.95
9-January-2015,846.15,862.50,845.10,860.45,852.014713974359225411,510671,20043,435099206.00,259031,50.72,17.40,14.30
8-January-2015,859.85,862.95,841.70,842.85,845.689404853557335853,787134,24450,665670884.00,473301,60.13,21.25,-17.00
7-January-2015,838.70,858.80,837.20,855.40,850.732167573772378555,660342,26226,561774181.00,332860,50.41,21.60,16.70
6-January-2015,872.00,872.00,832.10,836.10,848.367163135545435719,975422,39864,827515995.00,469959,48.18,39.90,-35.90
5-January-2015,885.55,890.90,875.30,877.10,882.759665802888183267,328788,19270,290240785.00,124228,37.78,15.60,-8.45
2-January-2015,888.80,896.00,884.00,885.60,889.875522840109647861,260835,9740,232110682.00,118820,45.55,12.00,-3.20
1-January-2015,885.50,892.15,884.20,888.05,887.917958243308787865,181432,7338,161096731.00,97186,53.57,7.95,2.55
31-December-2014,880.25,893.80,879.55,891.15,888.858161447947269876,328465,8506,291958796.00,201017,61.20,14.25,10.90
30-December-2014,898.40,898.50,877.65,880.60,881.949292297339692730,439874,14392,387946563.00,242588,55.15,20.85,-17.80
29-December-2014,888.50,900.50,886.60,897.00,895.858407386321443600,403990,12344,361917838.00,232801,57.63,13.90,8.50
26-December-2014,887.80,892.70,880.25,889.00,885.658579547072487114,245823,10623,217715249.00,83804,34.09,12.45,1.20
24-December-2014,895.00,896.60,881.65,886.80,889.565466816313042753,671806,15282,597615418.00,402381,59.90,14.95,-8.20
23-December-2014,903.40,903.95,892.05,893.90,896.610461810371990771,276109,12684,247562218.00,166573,60.33,11.90,-9.50
22-December-2014,903.20,906.45,891.05,904.50,897.916533615107829948,214829,10477,192898511.00,85132,39.63,15.40,1.30
19-December-2014,886.80,908.60,882.40,900.15,899.437653346340396813,475639,19452,427807626.00,198022,41.63,26.20,13.35
18-December-2014,880.00,885.25,865.25,880.25,877.597631896054906480,534436,19207,469019768.00,246878,46.19,20.00,0.25
17-December-2014,866.80,874.95,864.55,869.95,870.624741397751434605,696533,22878,606418863.00,296354,42.55,10.40,3.15
16-December-2014,875.50,883.00,859.95,864.10,871.577307671514299616,924850,24025,806078273.00,520664,56.30,23.05,-11.40
15-December-2014,876.20,880.90,872.40,878.45,877.244632384687342591,444704,15905,390114197.00,186126,41.85,8.50,2.25
12-December-2014,908.00,911.45,880.85,883.55,892.205025416748026985,773309,27536,689950176.00,383622,49.61,30.60,-24.45
11-December-2014,930.00,930.00,903.20,906.30,914.396400858789917671,591530,34120,540892903.00,224886,38.02,26.80,-23.70
10-December-2014,932.00,940.90,930.00,932.05,934.697880945722091947,232415,12554,217237808.00,84068,36.17,10.90,0.05
9-December-2014,942.40,950.05,931.40,939.30,940.773220338983050847,274350,16099,258101133.00,90402,32.95,18.65,-3.10
8-December-2014,962.30,962.90,942.60,945.05,952.758983558042836712,241942,12601,230512414.00,81836,33.82,20.30,-17.25
5-December-2014,961.00,966.80,955.50,957.70,960.916135437349775316,267932,12724,257460182.00,82709,30.87,11.30,-3.30
4-December-2014,968.35,974.35,956.10,958.55,964.073149299262565592,200289,11404,193093247.00,71832,35.86,18.25,-9.80
3-December-2014,960.90,973.60,960.90,966.20,967.373806218622467617,287427,12605,278049351.00,111788,38.89,12.70,5.30
2-December-2014,964.40,970.90,958.35,962.50,963.359086556169429097,271500,13751,261551992.00,63991,23.57,12.55,-1.90
1-December-2014,989.40,991.70,959.20,961.75,970.794467904461871885,358056,17607,347598784.00,124755,34.84,32.50,-27.65
28-November-2014,989.25,1016.20,983.55,990.85,1001.472311208145442673,686126,29132,687136191.00,235805,34.37,32.65,1.60
27-November-2014,990.00,992.95,983.25,987.15,987.841662543295398317,121260,6823,119785680.00,37225,30.70,9.70,-2.85
26-November-2014,993.00,993.00,982.50,987.35,987.345602848803873131,231957,9631,229021724.00,86586,37.33,10.50,-5.65
25-November-2014,985.00,994.90,974.00,992.35,983.876747280116943418,411139,16287,404510102.00,169795,41.30,20.90,7.35
24-November-2014,1000.00,1003.15,982.00,984.60,986.842341199708909450,240475,10659,237310912.00,96659,40.20,21.15,-15.40
21-November-2014,980.90,999.90,980.00,997.45,993.335774106032973115,330633,17236,328429587.00,134545,40.69,19.90,16.55
20-November-2014,977.80,982.90,970.20,980.40,976.269657240846889069,146371,8947,142897566.00,46748,31.94,12.70,2.60
19-November-2014,987.75,991.80,976.25,977.80,982.502322659697395053,128947,8710,126690727.00,39649,30.75,15.55,-9.95
18-November-2014,986.35,997.50,985.50,987.75,991.711311034355756576,222641,12828,220795598.00,80709,36.25,12.00,1.40
17-November-2014,969.00,985.00,966.95,983.35,977.264783200346384610,194004,11171,189593277.00,60469,31.17,18.05,14.35
14-November-2014,970.05,977.50,965.00,969.15,971.307712325632523768,222877,11137,216482149.00,86662,38.88,12.50,-0.90
13-November-2014,975.70,979.80,964.15,968.75,971.166870692335851180,254053,10764,246727857.00,72665,28.60,15.65,-6.95
12-November-2014,982.00,984.00,970.00,973.90,975.171495013992353474,202968,11121,197928608.00,50762,25.01,14.00,-8.10
11-November-2014,972.40,987.20,967.00,977.75,977.672922252010723860,250283,13785,244694912.00,70031,27.98,20.20,5.35
10-November-2014,982.35,989.10,968.10,969.50,976.678397481989987654,221127,11487,215969964.00,86121,38.95,21.00,-12.85
7-November-2014,991.00,995.50,978.50,980.90,983.928060311161348850,206131,12985,202818075.00,73248,35.53,17.00,-10.10
5-November-2014,1001.20,1008.00,988.00,991.35,998.064167968671322232,347541,18759,346868219.00,114599,32.97,20.00,-9.85
3-November-2014,1002.00,1008.50,990.55,1001.20,1001.338162737379971029,312737,14272,313155493.00,101758,32.54,17.95,-0.80
31-October-2014,982.00,1002.70,981.90,999.20,994.613690602194863795,448775,22382,446357759.00,169330,37.73,20.80,17.20
30-October-2014,948.40,981.45,948.30,979.30,968.471317286618215723,516949,21801,500650279.00,253736,49.08,33.15,30.90
29-October-2014,938.00,952.40,934.00,951.30,946.507565239899287008,339976,11635,321789856.00,167882,49.38,18.40,13.30
28-October-2014,944.00,944.00,927.00,934.05,932.419100387064552378,320360,16344,298709783.00,137741,43.00,17.00,-9.95
27-October-2014,959.20,960.90,937.65,941.70,944.349309690135617997,441903,12565,417310793.00,281477,63.70,23.25,-17.50
23-October-2014,949.00,954.50,949.00,952.95,952.109079526413669925,108618,6942,103416184.00,46655,42.95,5.50,3.95
22-October-2014,936.70,950.90,933.65,945.95,945.282102488585856548,297438,14942,281162818.00,92436,31.08,17.25,9.25
21-October-2014,936.10,937.00,927.10,929.15,930.522383639575500824,675337,20080,628416195.00,396279,58.68,9.90,-6.95
20-October-2014,937.55,941.80,912.75,934.50,932.750065111148560660,652730,30242,608833950.00,251528,38.53,29.05,-3.05
17-October-2014,935.00,941.00,925.60,938.15,935.125364404899060982,328961,16278,307619775.00,125046,38.01,15.40,3.15
