Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,139.80,141.55,138.60,140.80,140.280393825209675458,164540,2988,23081736.00,52577,31.95,2.95,1.00
27-January-2015,139.35,142.40,137.80,140.95,140.646552768690173270,214578,3168,30179656.00,74500,34.72,4.60,1.60
23-January-2015,138.20,140.00,135.30,139.35,138.248978855333737963,243844,4003,33711184.00,90432,37.09,4.70,1.15
22-January-2015,139.80,139.80,135.95,136.85,136.984853717826059915,755697,3789,103519043.00,618499,81.84,3.85,-2.95
21-January-2015,141.00,141.20,137.45,138.25,138.364994794537326229,228606,5992,31631068.00,72446,31.69,3.75,-2.75
20-January-2015,137.95,141.40,137.40,140.65,138.678690127723119007,605372,3913,83952196.00,463930,76.64,4.00,2.70
19-January-2015,135.95,137.60,135.15,137.15,136.990053108770282562,204486,3269,28012548.00,129289,63.23,2.45,1.20
16-January-2015,134.70,136.15,132.70,135.35,134.313112339258117171,276297,6853,37110310.00,126870,45.92,3.45,0.65
15-January-2015,132.60,134.90,132.60,133.90,134.041539863149120936,206356,4356,27660276.00,87571,42.44,2.30,1.30
14-January-2015,135.50,137.50,132.00,132.55,133.698626793641437491,217156,6412,29033459.00,70891,32.65,5.50,-2.95
13-January-2015,134.15,136.60,133.10,135.00,135.315010423905489923,158290,3243,21419013.00,53484,33.79,3.50,0.85
12-January-2015,136.90,136.90,133.50,133.75,134.427280553439487684,161463,5337,21705032.00,59156,36.64,3.40,-3.15
9-January-2015,138.50,138.95,134.60,135.30,136.111000360023684202,336089,8635,45745410.00,154919,46.09,4.35,-3.20
8-January-2015,136.60,138.00,136.25,137.50,137.343952745230948000,196213,4620,26948669.00,83857,42.74,1.75,0.90
7-January-2015,141.00,141.00,135.50,135.80,137.227927547453133431,255726,6261,35092749.00,114198,44.66,5.50,-5.20
6-January-2015,145.05,145.30,139.15,139.80,141.310373923732054901,342503,8320,48399227.00,115816,33.81,6.15,-5.25
5-January-2015,147.50,148.85,145.35,146.35,146.469219717064544650,144768,3648,21204056.00,58391,40.33,3.50,-1.15
2-January-2015,148.35,148.95,146.25,147.05,147.487051871306631648,152300,3863,22462278.00,47463,31.16,2.70,-1.30
1-January-2015,145.00,148.50,144.50,148.25,147.098415301280931195,148798,3198,21887950.00,55621,37.38,4.00,3.25
31-December-2014,146.00,146.00,144.20,144.95,145.375003208446341943,116879,2281,16991285.00,58612,50.15,1.80,-1.05
30-December-2014,144.60,145.85,143.05,145.45,144.631226877933231012,112717,2580,16302398.00,43144,38.28,2.80,0.85
29-December-2014,145.65,146.00,142.50,143.55,144.677809944109964203,134371,2709,19440502.00,32551,24.22,3.50,-2.10
26-December-2014,146.00,146.00,142.25,144.50,143.952645152010192234,97329,2871,14010767.00,30346,31.18,3.75,-1.50
24-December-2014,147.00,147.00,144.20,144.85,145.382977664671510016,140674,2596,20451605.00,41502,29.50,2.80,-2.15
23-December-2014,146.50,147.50,144.70,145.05,145.650722145689415345,298347,4330,43454456.00,140996,47.26,2.80,-1.45
22-December-2014,141.60,146.50,141.40,145.50,145.051316926883826114,244091,5973,35405721.00,88492,36.25,5.10,3.90
19-December-2014,140.00,142.90,139.40,140.65,141.045898622444358444,485788,7219,68518405.00,279563,57.55,3.50,0.65
18-December-2014,138.25,139.80,137.15,139.55,138.775742713499049784,935051,6537,129762397.00,667200,71.35,2.65,1.30
17-December-2014,136.50,139.40,133.65,137.40,137.956888262874874274,993233,8659,137023334.00,709618,71.45,5.75,0.90
16-December-2014,136.95,137.35,132.20,134.45,134.135024413841060603,264604,6784,35492664.00,91300,34.50,5.15,-2.50
15-December-2014,138.00,138.00,136.80,137.50,137.426454729661831691,666739,5845,91627577.00,553955,83.08,1.20,-0.50
12-December-2014,137.60,140.50,137.60,138.85,139.786452468264295469,650923,5168,90990217.00,446547,68.60,2.90,1.25
11-December-2014,136.30,138.50,134.25,137.35,136.285799316903945045,391453,4612,53349485.00,175952,44.95,4.25,1.05
10-December-2014,139.80,140.60,136.30,137.05,136.912171464111756361,429291,10716,58775163.00,258998,60.33,4.30,-2.75
9-December-2014,139.20,140.40,138.05,140.00,139.335223628655597965,927721,5196,129264213.00,755177,81.40,2.35,0.80
8-December-2014,140.00,141.20,138.90,139.85,139.627021009572719587,190437,2631,26590151.00,79165,41.57,2.30,-0.15
5-December-2014,140.50,141.35,139.10,140.05,140.176439822629594969,571685,5605,80136768.00,341835,59.79,2.25,-0.45
4-December-2014,139.00,140.75,137.40,139.85,139.097853191991544121,389788,6782,54218674.00,144291,37.02,3.35,0.85
3-December-2014,137.30,140.70,137.30,138.30,139.250745160648362435,447219,6529,62275579.00,171046,38.25,3.40,1.00
2-December-2014,135.50,138.00,134.65,137.50,137.169538274010507725,674361,7433,92501787.00,393341,58.33,3.35,2.00
1-December-2014,139.95,140.50,133.30,134.40,135.640847402629985582,298937,5879,40548068.00,134698,45.06,7.20,-5.55
28-November-2014,140.35,142.60,139.10,139.70,140.552530353171330755,1120476,7608,157485737.00,471170,42.05,3.50,-0.65
27-November-2014,141.50,141.70,139.35,140.05,140.486994206761692189,560481,5480,78740291.00,158900,28.35,2.35,-1.45
26-November-2014,140.50,141.45,139.40,140.90,140.662101462361595497,957971,7462,134750214.00,444770,46.43,2.05,0.40
25-November-2014,145.00,145.75,140.00,140.40,141.168008981810516171,1062592,10741,150003997.00,405527,38.16,5.75,-4.60
24-November-2014,145.00,149.80,144.75,145.70,147.329003200578148815,1281331,10698,188777219.00,582901,45.49,5.05,0.70
21-November-2014,146.50,147.05,144.20,146.05,145.945878622003359691,191089,3748,27888652.00,58862,30.80,2.85,-0.45
20-November-2014,148.75,150.10,144.10,145.10,146.325946527263403794,280816,5578,41090667.00,93062,33.14,6.00,-3.65
19-November-2014,152.00,153.10,148.90,149.35,151.166561069295228927,656582,5427,99253243.00,286286,43.60,4.20,-2.65
18-November-2014,151.50,154.20,151.00,151.30,152.398219222842205801,795720,5300,121266311.00,435429,54.72,3.20,-0.20
17-November-2014,154.65,154.65,151.80,152.25,152.641192617075620434,335531,4576,51215852.00,194618,58.00,2.85,-2.40
14-November-2014,152.00,156.00,151.35,154.60,153.689021265004318949,279003,5407,42879698.00,123927,44.42,4.65,2.60
13-November-2014,155.50,155.50,151.15,151.70,152.355435753290292356,273228,4942,41627771.00,116195,42.53,4.35,-3.80
12-November-2014,156.95,157.25,154.00,156.20,155.778602213497921846,520895,4801,81144295.00,320018,61.44,3.25,-0.75
11-November-2014,160.00,160.10,155.80,156.75,156.794471036194379840,807059,7008,126542389.00,547591,67.85,4.30,-3.25
10-November-2014,159.70,160.40,155.85,159.35,158.449526889357340203,397053,5272,62912860.00,189654,47.77,4.55,-0.35
7-November-2014,159.60,159.60,155.45,157.70,156.474297512532025265,1087813,10137,170214775.00,758367,69.71,4.15,-1.90
5-November-2014,166.15,167.10,158.65,159.50,160.753036161406257984,469672,10747,75501200.00,260568,55.48,8.45,-6.65
3-November-2014,172.25,173.00,165.50,165.85,167.857570504034637064,550855,8846,92465182.00,323215,58.68,7.50,-6.40
31-October-2014,169.90,173.50,169.25,170.85,171.271442333151184996,177511,4089,30402565.00,30789,17.34,4.25,0.95
30-October-2014,165.10,169.45,165.10,168.30,167.941484263696412381,193025,2983,32416905.00,75326,39.02,4.35,3.20
29-October-2014,165.75,166.85,163.90,165.15,164.860499003776727034,100881,1780,16631292.00,45717,45.32,2.95,-0.60
28-October-2014,163.90,166.65,162.40,165.00,164.694719232766846637,165582,4163,27270481.00,74090,44.75,4.25,1.10
27-October-2014,163.00,164.20,160.75,163.65,162.935592232676915694,116694,3534,19013606.00,45395,38.90,3.45,0.65
23-October-2014,162.90,163.00,160.80,161.85,161.699425263930216443,24533,796,3966972.00,11836,48.25,2.20,-1.05
22-October-2014,163.80,164.50,160.40,160.90,161.530999159859504215,98793,2834,15958132.00,37998,38.46,4.10,-2.90
