Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,1624.90,1665.00,1611.85,1659.45,1652.675175780375296699,44658,5984,73805168.00,13196,29.55,53.15,34.55
27-January-2015,1647.00,1650.00,1610.75,1620.70,1620.100546470796018866,48127,6151,77970579.00,18032,37.47,39.25,-26.30
23-January-2015,1665.00,1679.90,1633.15,1645.95,1648.223518018667710629,48533,6892,79993232.00,20332,41.89,46.75,-19.05
22-January-2015,1690.00,1695.00,1658.00,1664.55,1666.871451753838472100,40055,7905,66766536.00,15410,38.47,37.00,-25.45
21-January-2015,1670.00,1691.50,1642.35,1686.95,1666.242705649751363010,50073,9664,83433771.00,15130,30.22,49.15,16.95
20-January-2015,1660.00,1679.00,1650.15,1671.55,1668.609940448923499770,30562,5034,50996057.00,10212,33.41,28.85,11.55
19-January-2015,1650.00,1720.00,1640.00,1647.35,1671.213120520181759415,210388,10218,351603186.00,29708,14.12,80.00,-2.65
16-January-2015,1592.85,1645.00,1577.50,1638.05,1619.502438768552997325,38134,5107,61758106.00,8794,23.06,67.50,45.20
15-January-2015,1594.00,1617.50,1554.10,1594.90,1597.717598152424942263,32475,4279,51885879.00,11487,35.37,63.40,0.90
14-January-2015,1587.00,1598.00,1551.25,1578.85,1572.366147405984079055,29144,4283,45825039.00,4235,14.53,46.75,-8.15
13-January-2015,1576.00,1594.80,1564.25,1583.20,1583.295099395187180410,475023,4747,752101588.00,455993,95.99,30.55,7.20
12-January-2015,1550.00,1578.60,1541.70,1575.25,1560.591368805848903330,49240,7057,76843519.00,16251,33.00,36.90,25.25
9-January-2015,1536.00,1583.00,1523.80,1545.20,1547.734996035151370316,92059,9542,142482936.00,34981,38.00,59.20,9.20
8-January-2015,1506.00,1544.70,1495.15,1532.65,1510.600351779702689412,52874,4847,79871483.00,28985,54.82,49.55,26.65
7-January-2015,1535.90,1547.70,1494.80,1502.05,1517.276118805539988791,37473,4959,56856888.00,10727,28.63,52.90,-33.85
6-January-2015,1577.95,1577.95,1523.40,1535.80,1553.625303780048604807,34153,4475,53060965.00,10566,30.94,54.55,-42.15
5-January-2015,1605.50,1612.85,1573.60,1581.30,1590.864369093941078376,26985,3556,42929475.00,6164,22.84,39.25,-24.20
2-January-2015,1592.00,1618.15,1592.00,1605.05,1607.856674319448999672,18294,3445,29414130.00,6293,34.40,26.15,13.05
