Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,250.00,251.95,246.90,248.55,249.772214431412544620,62752,2630,15673706.00,16311,25.99,5.05,-1.45
27-January-2015,251.00,251.00,245.50,249.95,247.781999285787164575,78408,2044,19428091.00,21143,26.97,5.50,-1.05
23-January-2015,249.30,252.75,245.60,252.00,249.496950326275136502,112635,2812,28102089.00,39363,34.95,7.15,2.70
22-January-2015,246.00,249.90,245.35,248.90,247.740013229075618341,84662,1695,20974165.00,29678,35.05,4.55,2.90
21-January-2015,247.00,247.40,243.35,246.75,245.845987732012029517,75481,1737,18556701.00,21062,27.90,4.05,-0.25
20-January-2015,247.00,248.95,245.25,247.50,247.129315893001205594,110319,2780,27263059.00,29827,27.04,3.70,0.50
19-January-2015,238.70,247.00,238.60,246.35,244.429630637001577544,183830,3952,44933499.00,51630,28.09,8.40,7.65
16-January-2015,240.45,240.45,237.30,239.30,238.878120984401177637,61479,1521,14685988.00,11898,19.35,3.15,-1.15
15-January-2015,234.75,242.85,233.75,240.85,238.898100114814411303,238646,5408,57012076.00,86851,36.39,9.10,6.10
14-January-2015,230.55,233.75,230.05,232.70,232.319092211082956924,90770,2195,21087604.00,28393,31.28,3.70,2.15
13-January-2015,228.00,232.75,226.30,230.05,229.294588696388010510,112265,4252,25741757.00,26482,23.59,6.45,2.05
12-January-2015,223.70,228.40,223.20,227.90,226.364476642518111416,36027,1402,8155233.00,8828,24.50,5.20,4.20
9-January-2015,227.65,228.05,222.15,223.20,223.151075953847242868,113016,2401,25219642.00,57000,50.44,5.90,-4.45
8-January-2015,222.30,227.50,221.55,226.25,224.844573293062016358,45359,2151,10198725.00,16004,35.28,5.95,3.95
7-January-2015,220.40,223.05,218.20,219.90,220.435568027360021046,68421,2118,15082422.00,17748,25.94,4.85,-0.50
6-January-2015,229.95,229.95,220.60,221.95,224.259859030391834878,79166,4758,17753756.00,28161,35.57,9.35,-8.00
5-January-2015,231.95,233.50,229.50,230.75,231.371436952170612188,57956,1889,13409363.00,11978,20.67,4.00,-1.20
2-January-2015,229.00,231.65,228.70,230.95,230.665667294843241391,46696,1288,10771164.00,20311,43.50,2.95,1.95
1-January-2015,229.40,229.40,227.15,227.85,228.407235410645276523,30793,932,7033344.00,5953,19.33,2.25,-1.55
31-December-2014,228.15,231.70,228.15,228.70,229.373028225297606528,47546,1600,10905770.00,16381,34.45,3.55,0.55
30-December-2014,230.00,231.20,229.05,229.85,229.947660377358490566,53000,1922,12187226.00,20327,38.35,2.15,-0.15
29-December-2014,228.70,231.35,227.10,230.05,229.733340787119856887,62608,1621,14383145.00,17915,28.61,4.25,1.35
26-December-2014,228.30,229.65,224.20,226.00,226.397796104743267169,42924,1512,9717899.00,7034,16.39,5.45,-2.30
24-December-2014,227.30,231.65,226.05,227.10,229.370531455476114764,97487,2331,22360645.00,20550,21.08,5.60,-0.20
23-December-2014,228.00,229.65,226.05,227.40,227.570390574347738603,44729,1645,10178996.00,13796,30.84,3.60,-0.60
22-December-2014,225.00,229.35,224.50,228.35,227.358350404931936972,104462,3611,23750308.00,53803,51.50,4.85,3.35
19-December-2014,224.55,227.55,221.90,224.85,225.507805496643855084,91474,2564,20628101.00,20236,22.12,5.65,0.30
18-December-2014,222.00,225.50,221.60,223.40,224.039028011878962998,49836,1299,11165209.00,8482,17.02,3.90,1.40
17-December-2014,219.00,224.50,215.30,220.20,220.128561575599662809,65245,2219,14362288.00,14605,22.38,9.20,1.20
16-December-2014,227.00,228.75,218.45,219.20,221.665679622815087396,104352,3881,23131257.00,36612,35.09,10.30,-7.80
15-December-2014,224.70,229.70,224.05,228.40,226.819734936170788828,73869,2851,16754947.00,19584,26.51,5.65,3.70
12-December-2014,228.00,228.10,223.30,225.90,226.220026796226874720,73891,1633,16715624.00,16008,21.66,4.80,-2.10
11-December-2014,225.00,226.25,222.35,223.10,223.731934731934731934,36036,1295,8062404.00,9482,26.31,3.90,-1.90
10-December-2014,227.00,228.00,223.10,225.70,225.166548857248645191,59418,1753,13378946.00,8966,15.09,4.90,-1.30
9-December-2014,230.85,231.05,225.00,226.05,228.224486371330181521,137064,2572,31281361.00,44088,32.17,6.05,-4.80
8-December-2014,239.00,239.75,215.00,231.25,234.069812270207533540,246418,4906,57679015.00,39651,16.09,24.75,-7.75
5-December-2014,227.00,237.70,227.00,236.95,235.601696666835077920,217721,5400,51295437.00,75613,34.73,10.70,9.95
4-December-2014,230.90,231.15,227.35,229.95,229.135664108845395494,117157,2513,26844847.00,38626,32.97,3.80,-0.95
3-December-2014,228.60,230.95,227.05,229.45,229.486016714494285858,79452,2262,18233123.00,19140,24.09,3.90,0.85
2-December-2014,229.95,231.15,226.20,228.55,228.371289108793552974,135008,2592,30831951.00,45987,34.06,4.95,-1.40
1-December-2014,230.00,233.25,228.55,229.95,230.717953384377396752,76927,1978,17748440.00,19333,25.13,4.70,-0.05
28-November-2014,227.00,232.50,224.60,229.85,230.300232254318478734,137780,2751,31730766.00,40885,29.67,7.90,2.85
27-November-2014,229.05,230.00,225.00,225.70,226.881415081428766935,58456,1543,13262580.00,15600,26.69,5.00,-3.35
26-November-2014,227.50,230.40,225.60,228.85,228.349933921451243067,88531,2169,20216048.00,19108,21.58,4.80,1.35
25-November-2014,229.55,230.90,223.00,227.85,225.971495631026779402,70726,1897,15982060.00,12834,18.15,7.90,-1.70
24-November-2014,226.90,230.30,225.90,229.35,228.558361404731482557,129135,3022,29514884.00,43380,33.59,4.40,2.45
21-November-2014,220.35,226.40,220.35,225.95,224.458820671646322948,82335,1880,18480817.00,29438,35.75,6.05,5.60
20-November-2014,223.00,223.00,218.00,221.65,219.983673679161241691,58372,1415,12840887.00,13485,23.10,5.00,-1.35
19-November-2014,226.55,228.45,222.00,222.30,224.692411601112435439,50340,1103,11311016.00,20735,41.19,6.45,-4.25
18-November-2014,226.15,229.50,225.60,226.45,226.985275456176431978,45706,1543,10374589.00,12361,27.04,3.90,0.30
