Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,360.00,363.95,358.00,362.40,360.936845972399998833,342971,7755,123790871.00,158667,46.26,5.95,2.40
27-January-2015,350.05,360.45,350.00,359.75,356.521818298949538433,527768,11360,188160807.00,224044,42.45,10.45,9.70
23-January-2015,352.50,355.70,348.75,349.25,351.142211026731410729,510523,13203,179266175.00,215578,42.23,6.95,-3.25
22-January-2015,353.00,359.60,348.90,350.35,356.806400322507033332,2440877,17006,870920536.00,2035193,83.38,10.70,-2.65
21-January-2015,372.70,373.60,349.20,352.60,357.969967504223328487,1781770,37883,637820149.00,726851,40.79,24.40,-20.10
20-January-2015,358.40,372.00,358.40,371.20,366.944685333130986836,553506,11126,203106085.00,260184,47.01,13.60,12.80
19-January-2015,360.50,361.80,356.05,358.40,359.050938690965582088,220147,5480,79043987.00,90189,40.97,5.75,-2.10
16-January-2015,358.15,360.15,354.75,359.30,358.037406739162237284,205070,4860,73422731.00,57031,27.81,5.40,1.15
15-January-2015,354.00,359.90,350.95,358.00,355.833166163451205158,390820,8653,139066718.00,146925,37.59,8.95,4.00
14-January-2015,359.00,359.00,346.10,348.40,349.532975866281042044,745803,17160,260682742.00,279920,37.53,12.90,-10.60
13-January-2015,358.00,361.40,357.00,360.25,359.900750629483585918,210490,5335,75755509.00,84841,40.31,4.40,2.25
12-January-2015,358.45,361.50,356.25,357.95,358.203209147462701237,244177,8511,87464985.00,72598,29.73,5.25,-0.50
9-January-2015,363.85,365.80,353.15,356.70,357.225800223674142091,424725,10050,151722728.00,203567,47.93,12.65,-7.15
8-January-2015,356.00,363.30,355.25,362.45,359.068769242530596926,287774,8645,103330656.00,143743,49.95,8.05,6.45
7-January-2015,360.60,364.00,352.95,353.55,356.033581068429618747,416574,9035,148314333.00,210364,50.50,11.05,-7.05
6-January-2015,369.75,370.00,359.15,360.60,363.914016157279249759,708040,9536,257665680.00,480234,67.83,10.85,-9.15
5-January-2015,369.00,372.00,368.00,369.80,369.801001311567477235,292017,7042,107988179.00,133472,45.71,4.00,0.80
2-January-2015,368.00,370.20,367.50,368.25,368.546060763603376109,188501,4376,69471301.00,95180,50.49,2.70,0.25
1-January-2015,368.00,369.00,366.10,367.05,367.125063596302413137,127759,2702,46903531.00,52589,41.16,2.90,-0.95
31-December-2014,369.00,370.40,367.75,368.40,368.644683282869804094,149613,3549,55154037.00,66961,44.76,2.65,-0.60
30-December-2014,372.40,372.40,367.50,368.70,369.607700032092093957,96597,2959,35702995.00,35144,36.38,4.90,-3.70
29-December-2014,367.80,371.40,367.50,369.90,369.714569639575091118,160505,4292,59341037.00,72767,45.34,3.90,2.10
26-December-2014,370.00,372.35,366.30,367.70,368.099276897141551552,161941,4183,59610365.00,53247,32.88,6.05,-2.30
24-December-2014,376.85,378.40,368.85,371.95,375.155915367823135781,406323,10463,152434477.00,170841,42.05,9.55,-4.90
23-December-2014,375.00,377.30,372.90,374.85,374.239927429475637038,733080,4697,274347806.00,602623,82.20,4.40,-0.15
22-December-2014,370.00,378.35,369.00,374.50,374.021997854790382760,370127,7058,138435640.00,166646,45.02,9.35,4.50
19-December-2014,375.90,375.90,367.60,369.50,371.060232552235395668,393890,10470,146156915.00,194756,49.44,8.30,-6.40
18-December-2014,379.00,379.00,365.15,374.65,373.002174807276272890,262552,9163,97932467.00,79405,30.24,13.85,-4.35
17-December-2014,380.50,384.45,366.50,371.65,372.717129267245732754,633664,13165,236177427.00,400806,63.25,17.95,-8.85
16-December-2014,389.00,390.00,378.00,380.50,383.239825846299233858,444435,8693,170325192.00,243859,54.87,12.00,-8.50
15-December-2014,393.00,399.50,391.25,392.85,394.418862924799783960,236994,8221,93474904.00,109467,46.19,8.25,-0.15
12-December-2014,396.00,400.00,393.00,395.65,397.041996997555861589,241803,5450,96005946.00,107703,44.54,7.00,-0.35
11-December-2014,394.90,399.00,390.60,396.70,394.882869714918248840,327029,6954,129138150.00,136803,41.83,8.40,1.80
