Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,156.55,163.80,154.20,162.95,160.133839186934605437,1405545,20539,225075317.00,149342,10.63,9.60,6.40
27-January-2015,156.70,159.05,153.75,158.10,156.713607501750452063,916906,15047,143691647.00,114364,12.47,5.30,1.40
23-January-2015,150.25,157.10,148.70,156.25,153.678470211559967523,1697202,24052,260823407.00,198326,11.69,8.40,6.00
22-January-2015,144.20,149.65,143.40,148.55,147.313161133312130975,1012466,16665,149149567.00,129644,12.80,6.25,4.35
21-January-2015,146.10,146.60,142.05,143.80,143.854589103606999722,604824,10895,87006708.00,51198,8.46,4.55,-2.30
20-January-2015,145.50,147.65,143.40,145.65,145.648036340038935756,577875,8855,84166359.00,44243,7.66,4.25,0.15
19-January-2015,147.30,148.55,143.55,145.25,145.893750063903036818,684631,8930,99883384.00,56647,8.27,5.00,-2.05
16-January-2015,147.20,151.30,143.05,146.10,147.082229981594982604,1738113,23599,255645536.00,113961,6.56,8.25,-1.10
15-January-2015,138.50,149.50,136.60,147.20,144.748534134697429453,2595907,33898,375753733.00,371618,14.32,12.90,8.70
14-January-2015,132.05,134.90,132.05,133.35,133.591959962147758363,505122,7357,67480238.00,57670,11.42,2.85,1.30
13-January-2015,137.15,137.50,132.60,133.25,133.909651782519444810,796485,11809,106657029.00,144130,18.10,4.90,-3.90
12-January-2015,137.00,138.40,135.70,136.70,136.968631719565593845,404230,8054,55366830.00,43853,10.85,2.70,-0.30
9-January-2015,143.50,144.35,135.65,137.85,139.174956769618333705,944359,12984,131431123.00,166479,17.63,8.70,-5.65
8-January-2015,136.00,143.60,135.40,142.50,140.153644671425839760,1004096,13559,140727714.00,146271,14.57,8.20,6.50
7-January-2015,133.50,137.10,131.60,134.45,134.152899583609243650,890990,11168,119528892.00,76529,8.59,5.50,0.95
6-January-2015,134.80,135.50,132.25,133.50,133.874219734535359375,645133,9161,86366677.00,69003,10.70,3.25,-1.30
5-January-2015,138.00,138.00,134.90,135.85,136.005780022172624134,819028,11035,111392542.00,106010,12.94,3.10,-2.15
2-January-2015,137.10,140.65,137.10,139.20,139.323162309999380482,823221,9033,114693753.00,96016,11.66,3.55,2.10
1-January-2015,137.30,138.10,136.05,137.35,137.193116026350411072,421094,6404,57771198.00,40132,9.53,2.05,0.05
31-December-2014,135.10,138.25,135.10,137.15,136.722793841655746449,607436,8807,83050347.00,54503,8.97,3.15,2.05
30-December-2014,137.75,138.20,134.30,135.60,136.069016698964999986,1077971,11774,146678454.00,85715,7.95,3.90,-2.15
29-December-2014,137.55,140.40,135.10,135.85,138.441569568873955154,1266335,15436,175313405.00,150340,11.87,5.30,-1.70
26-December-2014,130.30,136.95,129.85,136.00,133.654442600922704537,1648415,18872,220317988.00,194657,11.81,7.10,5.70
24-December-2014,133.00,135.05,131.00,131.65,133.193722424657676456,963270,11113,128301517.00,214848,22.30,4.05,-1.35
23-December-2014,134.00,134.80,130.60,133.35,133.016961782000959447,1213198,17417,161375912.00,241362,19.89,4.20,-0.65
22-December-2014,134.80,136.40,131.25,133.75,134.167982591053777230,1615721,24054,216778027.00,464632,28.76,5.15,-1.05
19-December-2014,136.25,138.70,129.50,132.00,133.197643106764554492,1661085,24031,221252607.00,182353,10.98,9.20,-4.25
18-December-2014,136.25,139.25,133.85,135.95,136.066686072643993065,1168025,16873,158929291.00,170042,14.56,5.40,-0.30
17-December-2014,139.00,140.25,132.35,133.90,132.951083891483819452,8596248,16908,1142880489.00,7296278,84.88,7.90,-5.10
16-December-2014,143.50,145.70,137.65,139.35,141.382295485382482576,1186590,16936,167762818.00,199635,16.82,8.05,-4.15
15-December-2014,152.00,154.10,144.30,144.90,148.593964384411332445,938297,12586,139425271.00,105258,11.22,9.80,-7.10
12-December-2014,156.40,158.25,150.75,152.20,153.745748958077960284,1223700,14699,188138673.00,213641,17.46,7.50,-4.20
11-December-2014,159.50,161.25,154.95,156.15,158.593769198939703789,1505617,17317,238781475.00,68117,4.52,6.30,-3.35
10-December-2014,159.00,161.65,155.65,160.00,159.479857894438060110,1303538,16556,207888055.00,43825,3.36,6.00,1.00
9-December-2014,160.00,162.40,157.25,159.20,159.933824911962012205,1255140,17956,200739341.00,65983,5.26,5.15,-0.80
8-December-2014,161.10,166.15,158.80,160.15,162.360804809245160343,1525728,21769,247718426.00,163077,10.69,7.35,-0.95
5-December-2014,154.00,163.30,153.40,161.50,160.124975535386625634,2478069,36764,396800738.00,224366,9.05,9.90,7.50
4-December-2014,155.00,156.60,151.85,154.25,154.165343583999174443,1201613,15548,185247081.00,130981,10.90,4.75,-0.75
3-December-2014,154.00,156.50,153.00,155.50,154.820752564579616225,1389409,15394,215109347.00,188792,13.59,3.50,1.50
2-December-2014,153.00,155.50,151.15,153.45,153.172375305197070108,1591185,23199,243725586.00,209725,13.18,4.35,0.45
1-December-2014,148.50,154.45,146.80,153.70,151.261080311181059974,1337485,22465,202309426.00,151984,11.36,7.65,5.20
28-November-2014,147.25,155.00,145.00,149.35,149.867541488721573576,2865116,43083,429387891.00,333236,11.63,10.00,2.10
27-November-2014,151.70,152.95,147.00,148.15,150.313424640414000521,1728307,30324,259787744.00,185648,10.74,5.95,-3.55
26-November-2014,140.90,154.65,136.55,151.95,147.835250742066031953,3396598,57616,502136917.00,270661,7.97,18.10,11.05
25-November-2014,148.00,148.40,140.00,141.75,142.963211020733875596,1071435,15544,153175788.00,106656,9.95,8.40,-6.25
24-November-2014,138.95,147.80,138.95,147.10,145.345614023173993862,1619833,31602,235435622.00,198215,12.24,8.85,8.15
21-November-2014,138.00,141.50,137.80,140.30,140.131394841099095136,941247,16347,131898255.00,86911,9.23,3.70,2.30
20-November-2014,140.10,141.75,136.20,138.60,138.695803482204246780,1514041,21182,209991133.00,406778,26.87,5.55,-1.50
19-November-2014,137.90,144.40,137.85,141.00,141.524184282083077185,1714502,27288,242643497.00,133255,7.77,6.55,3.10
18-November-2014,138.40,140.70,137.35,139.25,138.926786940530918250,1096553,18131,152340585.00,301361,27.48,3.35,0.85
17-November-2014,142.00,142.00,137.75,139.75,139.593110786965638645,1723506,17863,240589564.00,510975,29.65,4.25,-2.25
14-November-2014,141.00,143.00,139.60,141.80,141.368201041226138567,1371460,19768,193880833.00,180709,13.18,3.40,0.80
13-November-2014,140.00,141.40,136.50,138.90,139.018149691635658650,1962127,22904,272771265.00,190162,9.69,4.90,-1.10
12-November-2014,138.00,140.35,136.10,139.70,138.489553908028179296,1246447,16135,172619889.00,126575,10.15,4.25,1.70
11-November-2014,136.00,138.00,132.55,136.65,135.801995563148056411,1764314,18738,239597362.00,152685,8.65,5.45,0.65
10-November-2014,133.70,137.20,132.80,135.60,135.362962589210129449,1426968,18287,193158616.00,126156,8.84,4.40,1.90
7-November-2014,131.85,135.00,129.80,134.55,132.757775472546051986,3255397,33238,432179264.00,817860,25.12,5.20,2.70
5-November-2014,128.50,131.40,125.60,126.65,128.567470549002534737,2659842,26364,341969158.00,174087,6.55,5.80,-1.85
3-November-2014,122.45,129.40,120.20,128.50,125.785143101072271529,3129711,30918,393671146.00,386077,12.34,9.20,6.05
31-October-2014,124.05,126.90,122.15,124.50,124.526230314749753319,2567087,27688,319669667.00,200679,7.82,4.75,0.45
30-October-2014,119.80,127.00,119.00,123.90,122.961421509280838154,6000805,60700,737867513.00,428278,7.14,8.00,4.10
29-October-2014,112.25,119.50,110.05,118.15,115.378934677375491778,3860990,38018,445476913.00,438585,11.36,9.45,5.90
28-October-2014,110.00,113.30,108.80,111.30,111.332997327845631250,2580315,24449,287274203.00,489439,18.97,4.50,1.30
27-October-2014,117.50,117.50,109.10,110.50,111.189750585381248564,3399921,40574,378036368.00,533729,15.70,8.40,-7.00
23-October-2014,121.00,121.60,119.15,119.90,120.004324096582577771,360769,5755,43293840.00,100949,27.98,2.45,-1.10
22-October-2014,122.00,123.00,115.90,120.25,119.776917443086397742,3634632,41525,435345017.00,253063,6.96,7.10,-1.75
21-October-2014,115.70,122.55,114.30,121.45,117.861084946243565674,4143597,44936,488368838.00,364951,8.81,8.25,5.75
20-October-2014,112.00,116.30,108.15,115.35,113.052724437718094926,4320653,47937,488461593.00,632865,14.65,8.15,3.35
17-October-2014,112.00,114.45,105.45,110.70,109.009324797045270199,4864878,66343,530317066.00,366281,7.53,9.00,-1.30
16-October-2014,100.10,115.85,100.00,110.35,110.773994344181931001,12802392,136142,1418172099.00,2597094,20.29,15.85,10.25
14-October-2014,132.05,132.05,102.70,104.95,112.150661962597258780,16810693,174619,1885330348.00,3443837,20.49,29.35,-27.10
13-October-2014,151.10,151.90,144.20,146.70,146.390679868669741504,1121143,16352,164124886.00,213272,19.02,7.70,-4.40
10-October-2014,150.65,155.40,149.15,152.35,152.256105456258825465,1373157,18063,209071537.00,106399,7.75,6.25,1.70
9-October-2014,150.00,154.35,149.30,152.70,151.930275738918123777,1055056,13647,160294949.00,206329,19.56,5.05,2.70
8-October-2014,142.00,149.80,140.15,148.80,145.273413767027644352,1612011,20496,234182341.00,194629,12.07,9.65,6.80
7-October-2014,149.80,149.80,141.25,142.05,145.088394088577092607,1273196,17249,184725963.00,222083,17.44,8.55,-7.75
1-October-2014,150.00,152.60,149.45,150.40,150.901430982446688619,727612,10556,109797692.00,84173,11.57,3.15,0.40
30-September-2014,158.00,159.05,148.10,150.85,153.203498995727748914,1312891,17638,201139495.00,219656,16.73,10.95,-7.15
29-September-2014,161.80,164.15,157.80,158.40,160.481978552475375952,709266,9908,113824411.00,102916,14.51,6.35,-3.40
26-September-2014,156.00,162.85,155.70,162.15,159.467043760940235058,999750,12993,159427177.00,162475,16.25,7.15,6.15
25-September-2014,161.00,161.25,154.40,155.80,157.899991004103512782,867062,12026,136909082.00,100407,11.58,6.85,-5.20
24-September-2014,156.00,162.25,154.10,159.70,156.834478300610179540,3643190,35399,571377803.00,1997804,54.84,8.15,3.70
23-September-2014,165.40,166.35,155.05,155.80,159.700414033097526841,1512681,21752,241575782.00,456320,30.17,11.30,-9.60
22-September-2014,170.50,173.30,166.00,166.65,168.962245048938037492,986758,12844,166724847.00,246518,24.98,7.30,-3.85
19-September-2014,176.90,176.90,171.15,171.95,173.031748354059985369,608315,8963,105257808.00,72081,11.85,5.75,-4.95
18-September-2014,168.90,176.90,168.00,175.30,173.971721812144049278,813666,11341,141554875.00,139540,17.15,8.90,6.40
17-September-2014,171.00,171.30,166.25,169.10,168.932280350969298564,716188,10540,120987272.00,72599,10.14,5.05,-1.90
16-September-2014,174.00,177.90,167.20,168.35,172.175283762062287761,729132,10732,125538509.00,104916,14.39,10.70,-5.65
15-September-2014,174.65,175.40,172.50,173.60,173.917085680498324708,436342,6655,75887329.00,51390,11.78,2.90,-1.05
12-September-2014,174.90,177.30,174.30,175.90,175.888184498779830106,483949,7273,85120911.00,73525,15.19,3.00,1.00
11-September-2014,177.30,178.95,174.20,175.20,176.392309155886200757,678001,12184,119594162.00,75053,11.07,4.75,-2.10
10-September-2014,172.80,177.70,171.65,176.70,175.851451522400401642,744942,11358,130999132.00,70725,9.49,6.05,3.90
9-September-2014,176.95,176.95,173.00,174.20,174.387386474779935727,572560,9317,99847242.00,82948,14.49,3.95,-2.75
8-September-2014,177.00,178.40,170.50,176.70,175.580386293863210781,1139081,18158,200000282.00,183209,16.08,7.90,-0.30
5-September-2014,166.00,176.30,164.70,175.40,171.941519148988810447,2101782,30929,361383590.00,281257,13.38,11.60,9.40
4-September-2014,175.00,175.90,161.70,167.30,168.360024708113657322,2873550,41053,483790949.00,464237,16.16,14.20,-7.70
3-September-2014,184.90,186.70,180.75,183.05,183.602391378697550278,1043833,15065,191650235.00,151030,14.47,5.95,-1.85
2-September-2014,179.40,185.00,179.00,184.05,183.082487427585993246,1258907,19417,230483825.00,348581,27.69,6.00,4.65
1-September-2014,178.00,180.70,175.60,180.00,178.750296639400808120,1014700,16437,181377926.00,112527,11.09,5.10,2.00
28-August-2014,182.00,183.05,176.50,177.65,178.868269403274438200,1382344,22471,247257479.00,188086,13.61,6.55,-4.35
