Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,331.00,339.10,330.00,338.30,335.779929940243148567,77648,3134,26072640.00,28253,36.39,9.10,7.30
27-January-2015,332.40,336.00,328.80,330.75,332.010337062059290434,54174,1967,17986328.00,19397,35.80,7.20,-1.65
23-January-2015,331.30,338.00,323.00,332.45,330.258334000587183388,112401,3749,37121367.00,22782,20.27,15.00,1.15
22-January-2015,331.00,333.95,329.45,331.80,331.487956031031597041,44213,1525,14656077.00,11178,25.28,4.50,0.80
21-January-2015,335.20,336.00,328.15,330.35,332.415644779668752477,83261,4237,27677259.00,29515,35.45,7.85,-4.85
20-January-2015,337.20,339.50,335.60,336.90,337.024758301807482135,47580,1722,16035638.00,16619,34.93,3.90,-0.30
19-January-2015,332.00,338.70,332.00,336.75,336.557508699919693048,67242,1792,22630800.00,21594,32.11,6.70,4.75
16-January-2015,335.00,339.30,332.05,337.40,336.649862185471681337,112470,5464,37863010.00,22254,19.79,7.25,2.40
15-January-2015,333.80,340.00,331.40,336.00,336.079056025202486695,107291,3500,36058258.00,25185,23.47,8.60,2.20
14-January-2015,341.00,341.70,334.95,335.85,338.084173778122575640,67028,2364,22661106.00,11588,17.29,6.75,-5.15
13-January-2015,339.85,344.95,338.85,339.90,341.617611846250787649,63480,2753,21685886.00,14056,22.14,6.10,0.05
12-January-2015,341.70,343.05,338.30,339.50,340.193268012636507961,62359,2147,21214112.00,20670,33.15,4.75,-2.20
9-January-2015,345.60,346.95,337.75,341.65,342.069530048419253773,87775,3256,30025153.00,13032,14.85,9.20,-3.95
8-January-2015,335.25,345.50,333.55,343.55,341.942252322055461493,104541,4109,35746985.00,18150,17.36,11.95,8.30
7-January-2015,330.20,337.50,329.55,335.25,334.113935450135084100,172115,3912,57506020.00,78612,45.67,7.95,5.05
6-January-2015,338.80,340.70,331.00,333.55,336.513970208166909449,106405,4532,35806769.00,25772,24.22,9.70,-5.25
5-January-2015,332.75,341.85,332.75,338.00,338.562215490031246530,63047,2815,21345332.00,12211,19.37,9.10,5.25
2-January-2015,335.00,339.45,333.10,334.80,336.495447083416990468,84671,3442,28491406.00,24898,29.41,6.35,-0.20
1-January-2015,330.00,338.90,330.00,336.55,335.068941704551994015,52131,1925,17467479.00,9799,18.80,8.90,6.55
31-December-2014,333.00,334.50,329.40,331.60,330.191748101630835282,624220,4941,206112293.00,564163,90.38,5.10,-1.40
30-December-2014,333.70,336.15,328.75,332.60,330.782657361249584579,376125,6243,124415627.00,177069,47.08,7.40,-1.10
29-December-2014,328.00,335.25,327.10,331.75,330.888173213583718890,99207,3999,32826423.00,31832,32.09,8.15,3.75
26-December-2014,327.85,329.90,323.65,327.90,326.718724664795759276,64140,2425,20955739.00,19244,30.00,6.25,0.05
24-December-2014,333.10,335.20,325.60,327.15,327.532035109386026817,226720,3543,74258063.00,150807,66.52,9.60,-5.95
23-December-2014,335.60,338.40,332.30,335.30,335.683149020037227636,136995,4053,45986913.00,41269,30.12,6.10,-0.30
22-December-2014,336.00,337.95,332.95,335.85,334.961785901020709722,131967,3194,44203902.00,77162,58.47,5.00,-0.15
19-December-2014,333.00,336.90,331.75,334.75,334.186899875738976541,106228,3816,35500006.00,49458,46.56,5.15,1.75
18-December-2014,325.00,332.70,325.00,330.30,329.703370845282821502,114719,4582,37823241.00,40350,35.17,7.70,5.30
17-December-2014,322.80,330.95,317.30,323.40,323.201269148027631536,92503,3707,29897087.00,17049,18.43,13.65,0.60
16-December-2014,328.00,334.80,323.95,326.05,329.217751957441337977,163351,5298,53778049.00,41428,25.36,10.85,-1.95
15-December-2014,337.80,342.55,327.60,329.35,334.045079570705026133,111159,5123,37132117.00,35006,31.49,14.95,-8.45
12-December-2014,346.05,348.90,339.20,341.25,343.642548999356473794,125869,3184,43253944.00,46906,37.27,9.70,-4.80
11-December-2014,348.00,350.50,343.00,345.05,346.554327549188694519,85233,2738,29537865.00,23115,27.12,7.50,-2.95
