Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,3280.00,3280.80,3225.00,3258.20,3250.799387442572741194,1306,644,4245544.00,696,53.29,55.80,-21.80
27-January-2015,3325.00,3325.00,3244.95,3284.90,3287.763217352010845006,2213,569,7275820.00,1421,64.21,80.05,-40.10
23-January-2015,3372.50,3382.50,3310.00,3326.90,3340.539575289575289575,1036,571,3460799.00,526,50.77,72.50,-45.60
22-January-2015,3388.70,3388.70,3325.00,3341.80,3353.327683615819209039,708,373,2374156.00,291,41.10,63.70,-46.90
21-January-2015,3359.60,3388.25,3340.00,3360.45,3358.363515901060070671,2264,598,7603335.00,1085,47.92,48.25,0.85
20-January-2015,3444.00,3444.00,3352.10,3364.45,3382.239491150442477876,1808,636,6115089.00,563,31.14,91.90,-79.55
19-January-2015,3347.75,3375.00,3323.80,3344.70,3355.921912832929782082,1652,536,5543983.00,894,54.12,51.20,-3.05
16-January-2015,3379.00,3394.40,3327.50,3348.15,3368.062302006335797254,947,345,3189555.00,453,47.84,66.90,-30.85
15-January-2015,3379.00,3398.00,3349.85,3365.15,3382.473779385171790235,2212,594,7482032.00,1285,58.09,48.15,-13.85
14-January-2015,3319.00,3380.00,3316.50,3353.30,3356.525618608594288136,18873,1181,63347708.00,16404,86.92,63.50,34.30
13-January-2015,3296.50,3309.70,3282.50,3301.85,3298.977011494252873563,1044,316,3444132.00,559,53.54,27.20,5.35
12-January-2015,3323.15,3323.15,3260.00,3275.10,3286.683812405446293494,1322,578,4344996.00,340,25.72,63.15,-48.05
9-January-2015,3336.00,3336.00,3258.50,3288.75,3284.588082288957200283,4229,1246,13890523.00,1325,31.33,77.50,-47.25
8-January-2015,3333.00,3399.40,3311.00,3327.00,3339.541991739329967875,2179,803,7276862.00,587,26.94,88.40,-6.00
7-January-2015,3311.20,3318.75,3282.00,3303.00,3302.741626794258373205,627,310,2070819.00,385,61.40,36.75,-8.20
6-January-2015,3399.00,3399.00,3284.95,3305.45,3328.298582995951417004,988,483,3288359.00,445,45.04,114.05,-93.55
5-January-2015,3415.40,3470.00,3389.95,3396.90,3432.691660826909600560,1427,586,4898451.00,398,27.89,80.05,-18.50
2-January-2015,3375.00,3440.00,3353.00,3409.75,3410.884078212290502793,2864,1018,9768772.00,570,19.90,87.00,34.75
1-January-2015,3360.00,3387.95,3342.45,3357.20,3359.187568157033805888,917,402,3080375.00,377,41.11,45.50,-2.80
31-December-2014,3401.00,3401.00,3334.85,3351.60,3366.929845422116527942,841,342,2831588.00,384,45.66,66.15,-49.40
30-December-2014,3385.25,3400.90,3347.50,3358.00,3367.454857142857142857,875,391,2946523.00,516,58.97,53.40,-27.25
29-December-2014,3340.85,3425.00,3340.85,3388.80,3389.086394557823129251,1470,590,4981957.00,585,39.80,84.15,47.95
26-December-2014,3335.80,3355.00,3310.50,3334.25,3333.341860465116279069,430,263,1433337.00,113,26.28,44.50,-1.55
24-December-2014,3342.25,3370.00,3325.15,3346.05,3351.108472400513478818,3116,940,10442054.00,1932,62.00,44.85,3.80
23-December-2014,3333.75,3385.00,3312.25,3341.55,3350.920259893679858239,1693,660,5673108.00,845,49.91,72.75,7.80
22-December-2014,3337.15,3385.00,3337.15,3360.80,3359.890761968981793661,1483,415,4982718.00,850,57.32,47.85,23.65
19-December-2014,3280.00,3360.00,3280.00,3330.05,3330.031421924039827822,192127,714,639788947.00,190574,99.19,80.00,50.05
18-December-2014,3190.00,3272.90,3190.00,3240.25,3239.523287671232876712,1095,415,3547278.00,633,57.81,82.90,50.25
17-December-2014,3260.00,3260.00,3174.50,3217.00,3211.654960491659350307,1139,362,3658075.00,445,39.07,85.50,-43.00
16-December-2014,3241.70,3310.00,3234.45,3263.85,3277.790488431876606683,1556,595,5100242.00,469,30.14,75.55,22.15
15-December-2014,3250.00,3295.15,3240.95,3257.25,3266.554298642533936651,884,322,2887634.00,407,46.04,54.20,7.25
12-December-2014,3313.25,3313.25,3253.45,3264.75,3277.662517289073305670,723,247,2369750.00,283,39.14,59.80,-48.50
11-December-2014,3294.00,3320.45,3263.80,3291.75,3293.684968496849684968,1111,386,3659284.00,298,26.82,56.65,-2.25
10-December-2014,3293.85,3309.40,3287.55,3302.05,3300.014884979702300405,739,205,2438711.00,369,49.93,21.85,8.20
9-December-2014,3330.00,3340.00,3289.00,3297.80,3313.205696202531645569,1580,575,5234865.00,348,22.03,51.00,-32.20
8-December-2014,3431.00,3444.05,3323.00,3341.90,3368.200000000000000000,2015,620,6786923.00,810,40.20,121.05,-89.10
5-December-2014,3530.00,3565.30,3431.00,3453.55,3507.182907764460656591,3838,1010,13460568.00,1582,41.22,134.30,-76.45
4-December-2014,3409.90,3565.00,3409.90,3521.75,3442.476085376685597394,260071,2295,895288198.00,253562,97.50,155.10,111.85
3-December-2014,3460.85,3478.05,3430.00,3444.35,3455.675985663082437275,1395,377,4820668.00,652,46.74,48.05,-16.50
2-December-2014,3430.85,3488.00,3410.55,3457.65,3453.923373759647188533,1814,543,6265417.00,606,33.41,77.45,26.80
1-December-2014,3343.00,3488.80,3343.00,3439.30,3427.542041786988279259,5887,1523,20177940.00,2900,49.26,145.80,96.30
28-November-2014,3333.50,3373.45,3284.65,3334.15,3329.419694576092680358,5697,1384,18967704.00,2516,44.16,88.80,0.65
27-November-2014,3266.00,3326.70,3266.00,3313.55,3302.806128133704735376,1795,593,5928537.00,1038,57.83,60.70,47.55
26-November-2014,3288.75,3307.15,3250.35,3260.50,3277.006359300476947535,629,182,2061237.00,303,48.17,56.80,-28.25
25-November-2014,3301.75,3319.85,3266.60,3300.85,3283.645430107526881720,3720,342,12215161.00,3143,84.49,53.25,-0.90
24-November-2014,3314.00,3330.00,3290.00,3294.30,3311.129616220130340333,1381,483,4572670.00,780,56.48,40.00,-19.70
21-November-2014,3325.00,3337.95,3290.00,3300.05,3303.916021890922815625,5299,1242,17507451.00,3902,73.64,47.95,-24.95
20-November-2014,3259.00,3300.00,3246.10,3290.05,3272.125666864256075874,1687,468,5520076.00,799,47.36,53.90,31.05
19-November-2014,3272.20,3300.00,3240.00,3255.35,3265.144144144144144144,1221,424,3986741.00,576,47.17,60.00,-16.85
18-November-2014,3305.00,3309.50,3250.00,3262.70,3269.455596426694692590,1903,569,6221774.00,1055,55.44,59.50,-42.30
17-November-2014,3307.00,3330.25,3280.10,3319.40,3308.406483790523690773,1604,451,5306684.00,842,52.49,50.15,12.40
14-November-2014,3254.00,3330.00,3254.00,3307.70,3312.139385275196568977,1399,574,4633683.00,415,29.66,76.00,53.70
13-November-2014,3205.25,3288.00,3202.75,3249.00,3248.123336745138178096,1954,572,6346833.00,979,50.10,85.25,43.75
12-November-2014,3340.85,3344.00,3215.15,3240.15,3283.599329421626152556,3579,992,11752002.00,2097,58.59,128.85,-100.70
11-November-2014,3348.70,3380.00,3305.60,3333.95,3335.714057507987220447,626,290,2088157.00,300,47.92,74.40,-14.75
10-November-2014,3350.00,3378.00,3315.05,3335.75,3343.535858178887993553,1241,370,4149328.00,412,33.20,62.95,-14.25
7-November-2014,3400.00,3410.00,3318.00,3337.50,3349.173959445037353255,937,451,3138176.00,392,41.84,92.00,-62.50
5-November-2014,3400.00,3405.00,3373.25,3385.85,3394.289340101522842639,394,155,1337350.00,154,39.09,31.75,-14.15
3-November-2014,3393.00,3409.25,3359.85,3394.60,3395.127586206896551724,1450,607,4922935.00,587,40.48,49.40,1.60
31-October-2014,3331.25,3393.00,3331.25,3378.80,3381.255591054313099041,1252,674,4233332.00,595,47.52,61.75,47.55
30-October-2014,3380.00,3388.45,3312.35,3326.60,3341.941944847605224963,1378,557,4605196.00,496,35.99,76.10,-53.40
29-October-2014,3300.00,3394.40,3293.25,3384.55,3355.256709956709956709,2310,908,7750643.00,1103,47.75,101.15,84.55
28-October-2014,3210.00,3309.40,3181.50,3299.25,3254.471025260029717682,2692,884,8761036.00,967,35.92,127.90,89.25
27-October-2014,3195.65,3211.70,3175.10,3196.10,3196.496782496782496782,777,252,2483678.00,351,45.17,36.60,0.45
23-October-2014,3180.00,3189.90,3153.60,3176.55,3175.847619047619047619,630,140,2000784.00,473,75.08,36.30,-3.45
22-October-2014,3225.00,3225.00,3169.95,3175.80,3185.280528052805280528,909,370,2895420.00,494,54.35,55.05,-49.20
21-October-2014,3240.00,3240.00,3179.35,3195.95,3204.475167785234899328,745,307,2387334.00,327,43.89,60.65,-44.05
20-October-2014,3202.50,3239.00,3194.95,3207.85,3212.825139664804469273,1790,642,5750957.00,874,48.83,44.05,5.35
17-October-2014,3210.00,3210.00,3152.05,3180.15,3185.793560606060606060,1056,372,3364198.00,545,51.61,57.95,-29.85
16-October-2014,3205.00,3220.00,3160.60,3202.40,3205.109520400858983536,2794,877,8955076.00,1518,54.33,59.40,-2.60
14-October-2014,3277.95,3278.00,3201.00,3218.10,3227.642733564013840830,2312,682,7462310.00,1046,45.24,77.00,-59.85
13-October-2014,3314.10,3351.55,3265.10,3280.50,3297.788732394366197183,1775,553,5853575.00,909,51.21,86.45,-33.60
10-October-2014,3386.00,3400.00,3330.00,3343.75,3365.391121775644871025,1667,677,5610107.00,956,57.35,70.00,-42.25
9-October-2014,3421.30,3460.00,3371.00,3387.10,3398.608881754949170679,1869,559,6352000.00,912,48.80,89.00,-34.20
8-October-2014,3426.00,3460.00,3397.80,3428.95,3428.383153569594247560,1947,517,6675062.00,732,37.60,62.20,2.95
7-October-2014,3525.00,3553.70,3430.60,3443.90,3473.151785714285714285,1568,508,5445902.00,422,26.91,123.10,-81.10
1-October-2014,3448.00,3534.80,3448.00,3492.10,3500.179680567879325643,4508,1201,15778810.00,2851,63.24,86.80,44.10
30-September-2014,3441.15,3449.05,3414.95,3434.55,3430.248215266337177375,1821,622,6246482.00,1090,59.86,34.10,-6.60
