Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,477.00,477.50,462.00,465.45,468.551289518662452615,104729,6933,49070908.00,41906,40.01,15.50,-11.55
27-January-2015,476.15,479.85,469.90,476.65,474.077288864981172673,92950,4156,44065484.00,24044,25.87,9.95,0.50
23-January-2015,480.00,487.35,471.00,473.70,479.122329051841440255,133754,6358,64084528.00,25197,18.84,16.35,-6.30
22-January-2015,466.00,481.25,466.00,475.30,475.364724046711393194,198838,8645,94520571.00,44797,22.53,15.25,9.30
21-January-2015,452.00,466.30,447.10,463.75,459.089587382269397518,107024,5326,49133604.00,27653,25.84,19.20,11.75
20-January-2015,456.80,457.50,449.45,451.20,452.098950718156016169,46508,2185,21026218.00,11686,25.13,8.05,-5.60
19-January-2015,455.00,461.50,452.45,456.00,457.936031803397181062,71942,3256,32944834.00,14325,19.91,9.05,1.00
16-January-2015,446.20,456.00,440.50,451.50,450.386360656965747139,106794,4383,48098561.00,22116,20.71,15.50,5.30
15-January-2015,445.50,449.00,442.00,445.85,445.657962720082667620,50322,2270,22426400.00,13883,27.59,7.00,0.35
14-January-2015,450.00,451.60,440.00,443.15,445.646410938093429548,94788,4650,42241932.00,19059,20.11,11.60,-6.85
13-January-2015,438.00,448.85,436.65,445.70,444.649931377494164154,85249,3685,37905962.00,17348,20.35,12.20,7.70
12-January-2015,440.00,441.00,432.60,435.75,435.734497006492958934,59295,2433,25836877.00,16874,28.46,8.40,-4.25
9-January-2015,448.10,450.80,431.30,437.75,438.340184429049869248,152579,6301,66881507.00,63825,41.83,19.50,-10.35
8-January-2015,445.15,451.00,434.00,443.45,439.471459934138309549,147582,6240,64858077.00,53733,36.41,17.00,-1.70
7-January-2015,436.00,444.00,431.05,441.05,438.019169819597521522,91185,6186,39940778.00,21824,23.93,12.95,5.05
6-January-2015,450.80,450.80,428.85,434.35,437.287761288036846041,101612,4232,44433684.00,25343,24.94,21.95,-16.45
5-January-2015,459.00,460.00,447.70,449.35,454.106236858633024767,73242,3648,33259649.00,24682,33.70,12.30,-9.65
2-January-2015,456.00,462.90,455.30,456.85,458.685798506080622260,64796,2972,29721005.00,18530,28.60,7.60,0.85
1-January-2015,458.10,464.30,453.05,455.55,458.553477349375626652,109710,5569,50307902.00,26746,24.38,11.25,-2.55
31-December-2014,439.00,460.80,436.00,456.50,455.435130117373108027,254232,10710,115786184.00,53205,20.93,24.80,17.50
30-December-2014,450.00,452.25,442.05,444.90,445.723235290869128220,90539,3668,40355336.00,13009,14.37,10.20,-5.10
29-December-2014,431.10,450.90,431.10,448.50,444.023421242196254202,199904,6903,88762058.00,87476,43.76,19.80,17.40
26-December-2014,429.00,432.00,425.30,428.45,428.439242938863067572,44752,1840,19173513.00,10072,22.51,6.70,-0.55
24-December-2014,431.25,437.35,426.30,428.10,431.066601521335096089,52191,2297,22497797.00,13502,25.87,11.05,-3.15
23-December-2014,444.00,444.00,429.00,430.85,434.987328111401218450,57450,3116,24990022.00,15563,27.09,15.00,-13.15
22-December-2014,435.95,443.85,429.80,438.95,438.395501978831869521,121031,4787,53059446.00,30158,24.92,14.05,3.00
19-December-2014,440.00,455.05,428.50,432.60,444.334823569817085808,337754,14426,150075864.00,88149,26.10,26.55,-7.40
18-December-2014,412.15,438.45,411.75,434.15,425.554503844647274405,186363,10453,79307614.00,60064,32.23,26.70,22.00
17-December-2014,416.00,416.00,393.15,407.30,406.388297326234581481,136362,5974,55415921.00,30382,22.28,22.85,-8.70
16-December-2014,409.50,420.00,407.20,412.15,412.887978310703579615,226840,11389,93659509.00,46091,20.32,12.80,2.65
15-December-2014,414.00,416.00,402.60,404.00,407.364653156154861301,76533,4050,31176839.00,25863,33.79,13.40,-10.00
12-December-2014,415.95,421.80,410.65,414.95,416.711500859157433193,101262,3865,42197040.00,35047,34.61,11.15,-1.00
11-December-2014,419.95,421.95,410.45,414.95,414.712678127750604436,89753,3805,37221707.00,15131,16.86,11.50,-5.00
10-December-2014,415.55,424.55,401.00,422.85,414.279734294077910380,177640,7180,73592652.00,33395,18.80,23.55,7.30
9-December-2014,424.00,429.00,412.35,416.85,421.730693679466933713,77889,2791,32848182.00,19997,25.67,16.65,-7.15
8-December-2014,422.50,426.80,418.50,423.70,422.645530519812768860,52769,2296,22302582.00,12454,23.60,8.30,1.20
5-December-2014,426.00,430.00,420.40,422.45,424.219103752562616989,89752,4100,38074513.00,46117,51.38,9.60,-3.55
4-December-2014,433.00,436.30,424.30,425.55,428.002768580094048248,71878,3928,30763983.00,28682,39.90,12.00,-7.45
3-December-2014,420.95,434.80,417.95,431.50,428.689006909591188926,130109,5729,55776298.00,44832,34.46,16.85,10.55
2-December-2014,421.00,425.00,415.00,419.05,419.252201121288692356,101312,4547,42475279.00,37546,37.06,10.00,-1.95
1-December-2014,431.00,432.00,418.15,420.70,423.648819652486518873,83450,3786,35353494.00,32647,39.12,13.85,-10.30
28-November-2014,422.50,438.10,422.50,427.90,430.148848511761585809,162138,5875,69743474.00,37153,22.91,15.60,5.40
27-November-2014,429.00,429.00,420.70,425.00,423.800153486148504139,79486,3601,33686179.00,14536,18.29,8.30,-4.00
26-November-2014,434.50,434.50,423.80,426.90,426.471874911800400778,141724,7558,60441300.00,50031,35.30,10.70,-7.60
25-November-2014,442.10,450.00,423.90,433.20,435.644362339501900077,436298,16640,190070764.00,106668,24.45,26.10,-8.90
24-November-2014,442.95,442.95,432.40,439.40,437.637112984822934232,74125,3187,32439851.00,20719,27.95,10.55,-3.55
21-November-2014,435.05,442.00,430.75,439.00,437.211585233329538515,96623,5349,42244695.00,28750,29.75,11.25,3.95
20-November-2014,441.30,446.20,424.80,436.50,435.293301068415309991,92567,4033,40293795.00,24842,26.84,21.40,-4.80
