Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,1826.55,1872.00,1813.55,1839.85,1827.797732228521587440,11465,1611,20955701.00,3858,33.65,58.45,13.30
27-January-2015,1830.05,1847.05,1829.95,1834.65,1837.679201305259886566,12871,1886,23652769.00,5031,39.09,17.10,4.60
23-January-2015,1829.20,1849.00,1817.80,1825.15,1830.062194696441032798,11464,1831,20979833.00,3676,32.07,31.20,-4.05
22-January-2015,1855.55,1856.00,1816.40,1826.15,1835.815110276865321445,12786,1574,23472732.00,4490,35.12,39.60,-29.40
21-January-2015,1804.35,1852.00,1802.35,1847.75,1838.051744295681689609,26515,2834,48735942.00,14637,55.20,49.65,43.40
20-January-2015,1795.95,1814.95,1791.90,1806.80,1804.965478254315218210,13267,1914,23946477.00,5981,45.08,23.05,10.85
19-January-2015,1770.00,1792.80,1761.00,1783.65,1778.848975188781014023,12051,1395,21436909.00,3968,32.93,31.80,13.65
16-January-2015,1750.00,1778.00,1685.05,1760.30,1760.958094931098396325,12409,1646,21851729.00,3841,30.95,92.95,10.30
15-January-2015,1749.80,1760.00,1728.00,1747.35,1742.700691786870768324,13588,1468,23679817.00,5068,37.30,32.00,-2.45
14-January-2015,1720.50,1752.00,1717.60,1732.95,1733.893763574309649394,16115,2385,27941698.00,5410,33.57,34.40,12.45
13-January-2015,1713.40,1744.60,1713.40,1727.65,1731.690447030006123698,16330,2011,28278505.00,8165,50.00,31.20,14.25
12-January-2015,1705.25,1744.00,1695.30,1719.65,1723.822143219908583037,9845,1512,16971029.00,2838,28.83,48.70,14.40
9-January-2015,1733.15,1740.55,1690.00,1706.10,1715.871465295629820051,10892,1881,18689272.00,2343,21.51,50.55,-27.05
8-January-2015,1710.00,1738.00,1710.00,1730.35,1728.509236947791164658,7470,1150,12911964.00,1299,17.39,28.00,20.35
