Name,Sector,Current Price,One Year High,One Year Low,Average Volume,Nse Code,BSE Code
Nestle India Ltd.,FOOD AND FOOD PROCESSING,7080,7120,4525,23850,NESTLEIND,500790
NHPC LIMITED,POWER,19.1,29.6,17.35,4300940,NHPC,533098
NMDC Ltd.,MINING,138.2,196,123.1,2075100,NMDC,526371
Name,Sector,Current Price,One Year High,One Year Low,Average Volume,Nse Code,BSE Code
NTPC Ltd.,POWER,143.5,168.9,110.65,4430550,NTPC,532555
Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,346.05,471.85,264.15,3853550,ONGC,500312
Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,286.4,344.75,128.75,2395680,PFC,532810
Power Grid Corporation of India Ltd.,POWER,146.9,150.9,93.25,2452040,POWERGRID,532898
Punj Lloyd Ltd.,CONSTRUCTION,37.15,60.9,24.8,1233660,PUNJLLOYD,532693
Punjab National Bank,BANKS,216,230.95,101.83,3866570,PNB,532461
Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,672.25,698.3,305.2,552028,RANBAXY,500359
Reliance Capital Ltd.,FINANCIAL INSTITUTION,467.3,669.9,304.5,2848880,RELCAPITAL,500111
Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,80.1,157.25,75.05,5945410,RCOM,532712
Reliance Industries Ltd.,REFINERIES,906.75,1145.25,793.1,2884020,RELIANCE,500325
Reliance Infrastructure Ltd.,POWER,482.6,819.9,350.3,1926010,RELINFRA,500390
Reliance Power Ltd.,POWER,62,113.3,58.35,4471120,RPOWER,532939
Sesa Sterlite Ltd.,MINING,199.65,318.3,168.85,4360590,SESAGOA,500295
Shriram Transport Finance Co. Ltd.,FINANCIAL INSTITUTION,1106.45,1224,548.7,479280,SRTRANSFIN,511218
Siemens Ltd.,ELECTRICAL EQUIPMENT,986.9,1010,513,270659,SIEMENS,500550
State Bank of India,BANKS,326.2,327.6,145.51,1.23E+07,SBIN,500112
Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,76.9,112.95,54.05,3135760,SAIL,500113
Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,885.95,932.5,552.55,1454740,SUNPHARMA,524715
Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,17.2,36.75,9.3,3.50E+07,SUZLON,532667
Tata Chemicals Ltd.,CHEMICALS - INORGANIC,438.8,460.7,244.2,406512,TATACHEM,500770
Name,Sector,Current Price,One Year High,One Year Low,Average Volume,Nse Code,BSE Code
Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,423.85,474.45,258.5,419277,TATACOMM,500483
Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,2513.8,2839.7,1999.5,986569,TCS,532540
Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,551.5,561,332.1,4680180,TATAMOTORS,500570
Tata Power Co. Ltd.,POWER,83.4,115.6,71.4,2673920,TATAPOWER,500400
Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,397.1,579.9,332,4274570,TATASTEEL,500470
Torrent Power Ltd.,POWER,168.6,186.15,79.05,822315,TORNTPOWER,532779
UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,3054.8,3139.95,1650.3,272833,ULTRACEMCO,532538
Union Bank of India,BANKS,247.35,259.65,100.5,3422780,UNIONBANK,532477
Unitech Ltd.,CONSTRUCTION,16.6,38.7,10.85,5.19E+07,UNITECH,507878
United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,364.3,388.7,176.6,1718330,UNIPHOS,512070
United Spirits Ltd.,BREW/DISTILLERIES,3339.3,3448,2225,339288,MCDOWELL-N,532432
Wipro Ltd.,COMPUTERS - SOFTWARE,588.7,621.9,474.7,1648120,WIPRO,507685
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,381.55,402.4,254.15,1526840,ZEEL,505537
