Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,81.40,82.45,81.40,82.15,82.124898278050844699,184326,2137,15137754.00,47017,25.51,1.05,0.75
30-December-2014,81.10,81.85,81.10,81.45,81.521859551375984283,124202,1415,10125178.00,31470,25.34,0.75,0.35
29-December-2014,81.20,82.65,81.10,81.40,81.911126294037463870,298581,2521,24457106.00,59752,20.01,1.55,0.20
26-December-2014,81.40,82.00,80.45,81.20,81.100031945722695914,262946,2476,21324929.00,72201,27.46,1.55,-0.20
24-December-2014,80.80,82.15,80.70,81.30,81.423066660440667338,299818,2835,24412101.00,95733,31.93,1.45,0.50
23-December-2014,83.80,84.35,81.20,81.45,82.431697213182084473,479651,3554,39538446.00,89103,18.58,3.15,-2.35
22-December-2014,84.00,84.45,83.40,84.05,84.001226290391935149,251164,2536,21098084.00,67691,26.95,1.05,0.05
19-December-2014,82.30,83.90,81.05,83.40,82.912455392346863764,523733,5158,43423989.00,142284,27.17,2.85,1.10
18-December-2014,79.65,82.00,79.65,81.55,81.152134721952232717,375529,4462,30474980.00,108171,28.80,2.35,1.90
17-December-2014,80.05,80.90,76.80,78.65,78.544987008025391289,816658,8027,64144392.00,229383,28.09,4.10,-1.40
16-December-2014,83.45,84.15,79.55,80.05,81.243785925702607221,600371,5927,48776413.00,237964,39.64,4.60,-3.40
15-December-2014,83.65,85.45,83.60,83.90,84.319822625161226649,293841,3530,24776621.00,60450,20.57,1.85,0.25
12-December-2014,85.30,86.15,83.75,84.20,84.898506966497300730,403072,4248,34220211.00,143393,35.58,2.40,-1.10
11-December-2014,86.55,87.20,84.50,84.75,85.645594546404421422,472789,4028,40492295.00,170733,36.11,2.70,-1.80
10-December-2014,84.50,89.50,84.50,87.00,87.226618362970984039,325993,3404,28435267.00,55288,16.96,5.00,2.50
9-December-2014,88.55,89.15,84.45,85.40,86.214757711443776591,502273,6296,43303345.00,200848,39.99,4.70,-3.15
8-December-2014,88.40,91.10,88.40,89.15,89.833898410044432059,258372,2736,23210564.00,78172,30.26,2.70,0.75
5-December-2014,89.70,90.60,88.75,89.25,89.795734497669927368,238190,2436,21388446.00,61265,25.72,1.85,-0.45
4-December-2014,90.70,91.20,88.95,89.25,89.513318653692717085,448694,4574,40164089.00,217754,48.53,2.25,-1.45
3-December-2014,90.40,91.35,90.10,90.55,90.684629727766982668,254745,2364,23101456.00,73193,28.73,1.25,0.15
2-December-2014,90.35,91.55,90.05,90.70,90.803160083160083160,204425,2009,18562436.00,51050,24.97,1.50,0.35
1-December-2014,92.90,93.15,90.00,90.45,91.349314049681339176,174794,2335,15967312.00,54792,31.35,3.15,-2.45
28-November-2014,92.60,93.65,92.10,93.00,93.012234462634023585,448242,3937,41691990.00,162311,36.21,1.55,0.40
27-November-2014,91.50,92.90,90.50,92.45,91.535712027117615066,395315,3689,36185440.00,150706,38.12,2.40,0.95
26-November-2014,89.95,91.85,88.50,90.65,90.887980130821816751,406660,4111,36960506.00,96513,23.73,3.35,0.70
25-November-2014,92.00,92.40,88.70,90.15,90.344445899485285467,450541,4545,40703877.00,87778,19.48,3.70,-1.85
24-November-2014,88.20,92.00,88.15,91.75,90.404058882727543116,736311,5442,66565503.00,227729,30.93,3.85,3.55
21-November-2014,88.65,89.95,87.80,88.10,89.005927465527361604,207846,2182,18499526.00,63443,30.52,2.15,-0.55
20-November-2014,89.00,89.90,87.25,89.40,88.616153240472988509,287026,2783,25435140.00,60461,21.06,2.65,0.40
19-November-2014,89.30,90.60,88.30,88.50,89.465906593589547219,300322,3305,26868580.00,68463,22.80,2.30,-0.80
18-November-2014,88.45,89.85,88.35,88.85,88.964520739376230705,314860,3139,28011369.00,95739,30.41,1.50,0.40
17-November-2014,88.70,89.50,87.70,88.45,88.459715823728663218,360762,3210,31912904.00,78663,21.80,1.80,-0.25
14-November-2014,86.90,89.55,85.50,88.85,87.186370484908134751,757958,7584,66083607.00,192139,25.35,4.05,1.95
13-November-2014,91.00,92.00,88.25,88.75,90.009146621428951171,413814,4754,37247045.00,167950,40.59,3.75,-2.25
12-November-2014,93.90,94.10,90.60,91.00,92.266195964438542513,382549,3734,35296341.00,173295,45.30,3.50,-2.90
11-November-2014,93.00,93.80,92.50,93.30,93.098716846504314724,217511,2611,20249995.00,64354,29.59,1.30,0.30
10-November-2014,91.30,93.40,90.90,93.15,92.142485834260851968,316256,2716,29140614.00,102962,32.56,2.50,1.85
7-November-2014,91.80,92.40,90.65,91.30,91.350583760557252490,222951,2379,20366704.00,56513,25.35,1.75,-0.50
5-November-2014,94.00,94.90,90.70,92.05,92.465622907188521693,809318,6187,74834093.00,307838,38.04,4.20,-1.95
3-November-2014,94.00,94.60,92.80,93.40,93.646400909803777703,436138,4099,40842754.00,123446,28.30,1.80,-0.60
31-October-2014,91.00,94.30,90.55,93.75,92.762654857600979134,843194,7501,78216914.00,291388,34.56,3.75,2.75
30-October-2014,90.80,90.95,89.75,90.70,90.363734088296649495,281868,2589,25470645.00,81547,28.93,1.20,-0.10
29-October-2014,91.50,91.60,89.70,90.85,90.880718350285888993,1314846,5759,119494149.00,756243,57.52,1.90,-0.65
28-October-2014,88.50,91.00,87.90,90.80,89.875078155424790364,559782,4692,50310451.00,189822,33.91,3.10,2.30
27-October-2014,88.50,89.25,87.40,88.60,88.771052099739943913,598717,3614,53148738.00,339242,56.66,1.85,0.10
23-October-2014,88.40,88.60,87.80,88.05,88.269794341349619705,123457,1796,10897524.00,72551,58.77,0.80,-0.35
22-October-2014,88.60,88.85,87.10,87.75,87.698231509707944262,207974,2088,18238952.00,60654,29.16,1.75,-0.85
21-October-2014,87.65,88.50,87.50,87.85,87.970901432591611103,329054,3775,28947177.00,103024,31.31,1.00,0.20
20-October-2014,86.15,87.30,85.65,86.80,86.316441427973449739,334460,2543,28869397.00,147554,44.12,1.65,0.65
17-October-2014,83.50,86.70,82.65,85.50,84.723272893689385150,592161,5767,50169818.00,293872,49.63,4.05,2.00
16-October-2014,86.50,86.50,83.20,83.85,84.908592442312653103,515581,3733,43777257.00,202806,39.34,3.30,-2.65
14-October-2014,85.90,87.40,85.05,86.70,86.377035562489912304,464675,4740,40137249.00,153015,32.93,2.35,0.80
13-October-2014,82.00,85.35,81.65,85.10,83.709955180767563802,399159,3580,33413582.00,164226,41.14,3.70,3.10
10-October-2014,84.30,84.30,82.25,82.70,82.864949960643202518,186753,2541,15475278.00,48536,25.99,2.05,-1.60
9-October-2014,82.95,84.65,82.75,84.45,83.803149976650663692,297653,3098,24944259.00,110168,37.01,1.90,1.50
8-October-2014,81.00,82.60,81.00,82.35,81.864459572125852955,617705,3803,50568086.00,279125,45.19,1.60,1.35
7-October-2014,80.75,81.65,79.80,81.15,81.116356363999657465,1681584,4514,136403967.00,1386117,82.43,1.85,0.40
1-October-2014,83.25,83.25,80.40,80.95,81.744596185624997816,572466,5331,46796002.00,157425,27.50,2.85,-2.30
30-September-2014,84.20,85.00,82.65,83.00,83.910375554586857862,373927,3632,31376355.00,107170,28.66,2.35,-1.20
29-September-2014,84.95,84.95,83.00,83.70,83.632468172181607893,460839,3961,38541103.00,127748,27.72,1.95,-1.25
