Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,1299.00,1331.30,1255.00,1286.20,1309.304278317306545133,41909,6124,54871633.00,5262,12.56,76.30,-12.80
30-December-2014,1224.00,1322.70,1224.00,1306.40,1291.023371104815864022,63540,9118,82031625.00,10069,15.85,98.70,82.40
29-December-2014,1209.40,1229.90,1207.70,1223.05,1220.414434117003827227,7316,1140,8928552.00,3035,41.48,22.20,13.65
26-December-2014,1198.00,1224.25,1187.50,1201.60,1208.042317782593817725,8767,1514,10590907.00,1808,20.62,36.75,3.60
24-December-2014,1151.90,1231.00,1151.90,1197.90,1207.105866928875778433,18306,3571,22097280.00,2164,11.82,79.10,46.00
23-December-2014,1155.00,1172.00,1147.00,1163.55,1163.643392370572207084,5872,1191,6832914.00,1646,28.03,25.00,8.55
22-December-2014,1165.00,1176.55,1150.00,1166.55,1169.691710825132475397,5284,929,6180651.00,1340,25.36,26.55,1.55
19-December-2014,1185.00,1188.55,1160.20,1165.40,1172.340269715102259533,11197,2011,13126694.00,4288,38.30,28.35,-19.60
18-December-2014,1176.50,1197.95,1162.25,1169.35,1180.934238675472049111,10751,1269,12696224.00,3004,27.94,35.70,-7.15
17-December-2014,1182.00,1198.00,1148.50,1163.55,1173.120489644865134154,14051,2104,16483516.00,2083,14.82,49.50,-18.45
16-December-2014,1151.00,1215.00,1135.45,1179.20,1166.192032813373935740,16091,2869,18765196.00,2640,16.41,79.55,28.20
15-December-2014,1190.00,1190.00,1152.25,1159.95,1166.623482867296989204,14913,2546,17397856.00,5297,35.52,37.75,-30.05
12-December-2014,1234.70,1242.90,1198.00,1203.80,1219.551319332256327409,9285,1866,11323534.00,2042,21.99,44.90,-30.90
11-December-2014,1235.55,1250.00,1210.00,1222.30,1229.646812160487944343,10493,2188,12902684.00,1417,13.50,40.00,-13.25
10-December-2014,1230.60,1311.00,1209.35,1235.55,1250.903272823638531866,37735,6986,47202835.00,4871,12.91,101.65,4.95
9-December-2014,1269.00,1269.00,1223.05,1228.45,1240.136527732195602231,9141,1607,11336088.00,2014,22.03,45.95,-40.55
8-December-2014,1305.00,1305.00,1260.00,1269.00,1278.230896692371423108,15691,2092,20056721.00,3865,24.63,45.00,-36.00
5-December-2014,1320.00,1345.00,1282.20,1304.80,1320.088688799518048748,61417,8705,81075887.00,6335,10.31,62.80,-15.20
4-December-2014,1175.00,1396.70,1175.00,1315.05,1291.037935865107867858,196305,23489,253437202.00,18796,9.57,221.70,140.05
3-December-2014,1126.15,1174.45,1126.15,1163.95,1158.160802684474567261,30099,3690,34859482.00,6303,20.94,48.30,37.80
2-December-2014,1118.45,1140.00,1092.20,1126.15,1126.822695035460992907,8037,1313,9056274.00,2343,29.15,47.80,7.70
1-December-2014,1110.80,1124.00,1091.05,1118.45,1115.789329021827000808,6185,981,6901157.00,1623,26.24,32.95,7.65
28-November-2014,1099.00,1118.00,1091.20,1110.80,1105.915041782729805013,7180,1006,7940470.00,2202,30.67,26.80,11.80
27-November-2014,1099.95,1112.00,1081.25,1088.75,1096.918515446817333609,4823,746,5290438.00,1075,22.29,30.75,-11.20
26-November-2014,1102.00,1104.20,1088.00,1093.70,1095.523809523809523809,5481,737,6004566.00,920,16.79,16.20,-8.30
25-November-2014,1120.00,1125.40,1090.00,1102.00,1101.099356395816572807,7458,1165,8211999.00,1285,17.23,35.40,-18.00
24-November-2014,1101.05,1128.00,1101.05,1116.80,1116.905460951262477980,8515,1479,9510450.00,2183,25.64,26.95,15.75
21-November-2014,1106.50,1118.65,1093.25,1099.40,1105.958097143492275202,8997,1283,9950305.00,3095,34.40,25.40,-7.10
20-November-2014,1114.00,1120.00,1090.05,1102.20,1108.142792507465387747,11051,1667,12246086.00,3478,31.47,29.95,-11.80
19-November-2014,1134.00,1144.50,1110.00,1116.75,1125.843175982619000592,5063,889,5700144.00,1114,22.00,34.50,-17.25
18-November-2014,1127.25,1137.40,1116.50,1127.20,1125.683578247345275126,9323,1035,10494748.00,3335,35.77,20.90,-0.05
17-November-2014,1129.50,1168.90,1111.00,1122.50,1142.921312296518908089,19965,2653,22818424.00,3937,19.72,57.90,-7.00
14-November-2014,1097.00,1140.95,1090.10,1129.40,1123.227530864197530864,24300,2707,27294429.00,9835,40.47,50.85,32.40
13-November-2014,1105.00,1120.00,1090.00,1092.65,1106.047921478060046189,5196,731,5747025.00,1148,22.09,30.00,-12.35
12-November-2014,1125.00,1129.95,1098.05,1102.95,1112.855657492354740061,6540,1057,7278076.00,1633,24.97,31.90,-22.05
11-November-2014,1071.80,1129.00,1071.80,1118.75,1104.579642454501530037,12418,2091,13716670.00,3710,29.88,57.20,46.95
10-November-2014,1094.00,1099.90,1065.00,1071.80,1081.675885714285714285,8750,1580,9464664.00,2056,23.50,34.90,-22.20
7-November-2014,1124.00,1129.25,1077.00,1085.05,1086.751847626605823123,20161,3211,21910004.00,8671,43.01,52.25,-38.95
5-November-2014,1150.10,1150.10,1112.00,1120.65,1124.604075961093098656,10795,1555,12140101.00,4586,42.48,38.10,-29.45
3-November-2014,1168.75,1177.15,1136.95,1147.05,1146.692472940593241345,12103,1876,13878419.00,4541,37.52,40.20,-21.70
31-October-2014,1173.00,1179.05,1155.85,1166.75,1164.554224333815327411,9682,1669,11275214.00,3696,38.17,23.20,-6.25
30-October-2014,1164.15,1177.65,1137.00,1172.90,1169.497777283840853523,8998,1840,10523141.00,3620,40.23,40.65,8.75
29-October-2014,1151.00,1180.00,1101.00,1164.15,1151.412619567041449907,119180,4642,137225356.00,93807,78.71,79.00,13.15
28-October-2014,1160.00,1179.00,1085.10,1149.65,1135.032780458383594692,66320,8381,75275374.00,7956,12.00,93.90,-10.35
27-October-2014,1122.00,1188.00,1107.00,1155.65,1159.103441513873909206,20398,3559,23643392.00,2519,12.35,81.00,33.65
23-October-2014,1121.00,1130.00,1116.15,1123.65,1123.227000544365813826,3674,664,4126736.00,1838,50.03,13.85,2.65
22-October-2014,1072.00,1120.00,1056.00,1107.50,1086.138603696098562628,12662,1951,13752687.00,4668,36.87,64.00,35.50
21-October-2014,1039.40,1069.00,1036.35,1062.45,1055.276505911052730343,10658,1795,11247137.00,2247,21.08,32.65,23.05
20-October-2014,1004.90,1039.00,999.90,1032.40,1019.127260397830018083,8848,1715,9017238.00,2759,31.18,39.10,27.50
17-October-2014,1018.05,1028.00,988.25,995.80,1003.397392047883710987,9356,1516,9387786.00,3110,33.24,39.75,-22.25
16-October-2014,1048.10,1067.00,1000.00,1013.55,1033.844115669132481506,7435,1429,7686631.00,2280,30.67,67.00,-34.55
14-October-2014,1080.00,1081.95,1046.55,1055.70,1064.986981677917068466,4148,793,4417566.00,1530,36.89,35.40,-24.30
13-October-2014,1070.00,1097.50,1048.60,1070.00,1073.753566601591830605,13318,2537,14300250.00,4396,33.01,48.90,0.00
10-October-2014,1080.00,1080.00,1050.00,1054.45,1064.413743293437886917,4846,552,5158149.00,3343,68.98,30.00,-25.55
9-October-2014,1070.00,1098.00,1070.00,1080.00,1083.908630430547438145,5133,787,5563703.00,1828,35.61,28.00,10.00
8-October-2014,1080.00,1112.95,1070.00,1074.10,1089.427745664739884393,5709,1108,6219543.00,1514,26.52,42.95,-5.90
7-October-2014,1115.85,1119.35,1077.00,1084.00,1100.442005740334290055,5923,1016,6517918.00,1887,31.86,42.35,-31.85
1-October-2014,1160.00,1169.80,1112.20,1115.85,1134.650726238002208443,11773,1525,13358243.00,4630,39.33,57.60,-44.15
30-September-2014,1154.40,1173.15,1144.65,1147.30,1156.314393552993981434,9803,1299,11335350.00,4098,41.80,28.50,-7.10
29-September-2014,1160.00,1183.35,1142.25,1154.40,1167.345387994143484626,6830,1179,7972969.00,1966,28.78,41.10,-5.60
26-September-2014,1150.00,1169.85,1140.00,1158.65,1152.928894297635605006,5752,894,6631647.00,1945,33.81,29.85,8.65
25-September-2014,1170.00,1190.90,1144.00,1147.90,1161.110408670128697222,8858,1356,10285116.00,2699,30.47,46.90,-22.10
24-September-2014,1209.60,1219.40,1091.05,1164.30,1175.651830459526034145,11773,1729,13840949.00,3958,33.62,128.35,-45.30
23-September-2014,1237.00,1250.00,1199.00,1203.15,1220.878522298646549811,9014,1352,11004999.00,2269,25.17,51.00,-33.85
22-September-2014,1228.00,1263.50,1215.60,1236.35,1244.873780656372181193,25321,3140,31521449.00,6287,24.83,47.90,8.35
19-September-2014,1228.50,1236.80,1186.60,1224.00,1219.547381789761625635,20472,2721,24966574.00,7067,34.52,50.20,-4.50
18-September-2014,1235.00,1247.70,1206.50,1216.20,1227.673014699084773966,32451,4037,39839217.00,10491,32.33,41.20,-18.80
17-September-2014,1155.00,1240.40,1152.65,1220.85,1206.655911392574184670,74847,10268,90314575.00,13962,18.65,87.75,65.85
