Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,1100.75,1142.85,1100.75,1131.30,1120.900848484848484848,8250,1167,9247432.00,3075,37.27,42.10,30.55
30-December-2014,1104.25,1124.00,1092.20,1099.55,1103.759965054057005569,9157,1567,10107130.00,2959,32.31,31.80,-4.70
29-December-2014,1090.00,1106.00,1085.00,1101.50,1097.160531220876048462,8584,1982,9418026.00,3719,43.32,21.00,11.50
26-December-2014,1091.00,1098.00,1075.00,1084.90,1086.907921534998392110,9329,1189,10139764.00,2719,29.15,23.00,-6.10
24-December-2014,1069.85,1110.00,1060.00,1082.25,1088.108400908206292572,46245,8051,50319573.00,5854,12.66,50.00,12.40
23-December-2014,1060.45,1068.55,1039.00,1041.95,1044.224750773461670677,14545,910,15188249.00,11991,82.44,29.55,-18.50
22-December-2014,1050.00,1069.65,1029.90,1065.10,1053.992739273927392739,4545,923,4790397.00,1051,23.12,39.75,15.10
19-December-2014,1065.10,1065.25,1011.15,1043.25,1050.115596909004888818,6341,1409,6658783.00,2445,38.56,54.10,-21.85
18-December-2014,1052.00,1073.70,1051.20,1062.45,1063.843489993253879019,4447,804,4730912.00,1470,33.06,22.50,10.45
17-December-2014,1029.90,1063.45,966.00,1035.30,1014.764173757277205553,22330,3427,22659684.00,5622,25.18,97.45,5.40
16-December-2014,1115.00,1123.65,1027.00,1039.45,1081.129795757858775530,40687,2350,43987928.00,33459,82.24,96.65,-75.55
15-December-2014,1062.05,1124.95,1061.00,1103.85,1094.115671148335904782,22685,2676,24820014.00,6243,27.52,63.95,41.80
12-December-2014,1030.05,1075.00,1030.05,1068.25,1054.083104631217838765,11660,4291,12290609.00,5962,51.13,44.95,38.20
11-December-2014,1035.00,1041.00,1025.00,1032.65,1033.554537767756482525,7096,1173,7334103.00,3209,45.22,16.00,-2.35
10-December-2014,1032.80,1054.15,1028.55,1039.65,1040.977847005884389061,5778,1007,6014770.00,2548,44.10,25.60,6.85
9-December-2014,1064.15,1064.90,1023.40,1038.10,1037.388276262333139872,8615,1350,8937100.00,3005,34.88,41.50,-26.05
8-December-2014,1115.00,1115.00,1044.70,1054.15,1074.835527199462726662,14890,2636,16004301.00,6076,40.81,70.30,-60.85
