Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,568.00,580.00,567.50,575.55,573.633284241531664212,14259,888,8179437.00,4987,34.97,12.50,7.55
30-December-2014,567.00,572.50,565.40,568.00,568.075791943684004692,12785,523,7262849.00,7568,59.19,7.10,1.00
29-December-2014,569.00,569.90,562.30,565.30,567.713926623168253289,37396,436,21230230.00,32706,87.46,7.60,-3.70
26-December-2014,569.05,571.90,564.20,568.65,568.072130539588355275,5393,417,3063613.00,1621,30.06,7.70,-0.40
24-December-2014,567.95,575.50,566.00,571.15,568.197081930415263748,35640,706,20250544.00,30925,86.77,9.50,3.20
23-December-2014,565.45,573.25,563.00,567.90,565.706314699792960662,48300,967,27323615.00,41081,85.05,10.25,2.45
22-December-2014,575.50,577.00,557.00,566.75,567.468657102236008788,15474,1618,8781010.00,4967,32.10,20.00,-8.75
19-December-2014,566.25,567.00,553.00,562.75,558.592076434036133759,27841,1424,15551762.00,12640,45.40,14.00,-3.50
18-December-2014,551.00,566.95,546.85,561.60,559.482809402435570659,17655,1886,9877669.00,5612,31.79,20.10,10.60
17-December-2014,539.00,549.90,534.80,545.25,542.180597067407433454,28439,1960,15419074.00,11244,39.54,15.10,6.25
16-December-2014,532.80,545.95,525.10,539.60,539.452685233064933146,27074,2159,14605142.00,10394,38.39,20.85,6.80
15-December-2014,543.00,544.50,526.00,534.25,535.023093327347213648,35638,2073,19067153.00,17620,49.44,18.50,-8.75
12-December-2014,566.55,570.00,544.30,547.15,550.000682527301092043,51280,3036,28204035.00,38607,75.29,25.70,-19.40
11-December-2014,572.05,572.05,564.00,566.55,566.176876425749735714,17973,1001,10175897.00,12808,71.26,8.05,-5.50
10-December-2014,573.85,575.00,567.45,572.05,571.731767859802412748,20143,938,11516393.00,14608,72.52,7.55,-1.80
9-December-2014,575.00,576.55,570.10,572.35,573.784490478180407139,16751,1141,9611464.00,12812,76.48,6.45,-2.65
8-December-2014,579.70,583.55,574.55,577.15,577.486512143026659283,12641,915,7300007.00,6559,51.89,9.00,-2.55
5-December-2014,594.90,594.90,578.00,580.15,582.752100110074734951,17261,1390,10058884.00,9048,52.42,16.90,-14.75
4-December-2014,589.90,593.45,585.00,590.05,589.867484415845566056,9946,746,5866822.00,4711,47.37,8.45,0.15
3-December-2014,579.40,591.60,579.40,584.60,584.815989458846601703,32634,2450,19084885.00,15390,47.16,12.20,5.20
2-December-2014,572.00,586.45,568.00,579.40,580.195615652530219217,24405,1915,14159674.00,9728,39.86,18.45,7.40
1-December-2014,592.85,596.45,569.00,571.85,576.810130372690837057,43414,2482,25041635.00,27817,64.07,27.45,-21.00
28-November-2014,610.00,612.90,590.50,592.85,605.802738933757461838,48413,3186,29328728.00,20885,43.14,22.40,-17.15
27-November-2014,619.00,627.05,602.30,606.10,619.027215789690551732,48538,3824,30046343.00,15759,32.47,24.75,-12.90
26-November-2014,600.00,622.00,600.00,617.05,612.428432947432559685,36106,3873,22112341.00,15752,43.63,22.00,17.05
25-November-2014,597.25,605.75,589.95,598.50,596.954651034177635217,27123,2176,16191201.00,11658,42.98,15.80,1.25
24-November-2014,591.00,598.00,585.35,595.20,594.201378914105142200,10443,931,6205245.00,4387,42.01,12.65,4.20
21-November-2014,579.00,592.80,576.50,589.10,584.704165730126620214,26694,1431,15608093.00,16445,61.61,16.30,10.10
20-November-2014,581.45,584.85,571.00,579.85,575.943544484641795515,43397,1952,24994222.00,32298,74.42,13.85,-1.60
