Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,448.00,451.10,447.00,448.80,449.423687256751706725,109713,4332,49307621.00,21517,19.61,4.10,0.80
30-December-2014,442.85,449.90,438.50,448.65,445.918122740412556324,132491,5404,59080138.00,19102,14.42,11.40,5.80
29-December-2014,450.00,454.00,441.65,442.80,448.041878765678485265,158338,7363,70942055.00,40247,25.42,12.35,-7.20
26-December-2014,440.55,448.60,438.50,447.45,444.981991810268663137,260326,8328,115840382.00,42356,16.27,10.10,6.90
24-December-2014,434.00,442.00,430.50,439.70,437.211061049381607998,167127,6333,73069773.00,29190,17.47,11.50,5.70
23-December-2014,442.00,443.25,432.00,433.25,437.459781352768642787,202518,7941,88593480.00,40679,20.09,11.25,-8.75
22-December-2014,428.50,439.80,427.60,438.20,433.828138062820972172,175833,6802,76281303.00,31409,17.86,12.20,9.70
19-December-2014,444.00,445.00,427.10,428.70,435.278980412131412563,361244,12722,157241920.00,71935,19.91,17.90,-15.30
18-December-2014,415.00,436.95,415.00,435.60,429.071651896690466061,390206,12880,167426333.00,85079,21.80,21.95,20.60
17-December-2014,407.25,412.80,390.00,407.65,403.893919112284556373,324969,11896,131253003.00,37030,11.39,22.80,0.40
16-December-2014,418.90,423.75,404.10,407.35,413.023486749678798285,333124,10332,137588036.00,80638,24.21,19.65,-11.55
15-December-2014,414.95,425.25,411.75,420.95,420.746266621506899327,227341,8187,95652877.00,41141,18.10,13.50,6.00
12-December-2014,425.00,430.75,412.45,416.75,424.161405853182771046,315794,9188,133947627.00,63082,19.98,18.30,-8.25
11-December-2014,416.00,428.55,406.80,421.70,419.616287531542089196,529055,14039,222000095.00,68206,12.89,21.75,5.70
10-December-2014,399.90,416.90,397.40,414.35,410.300779991656148837,189361,5731,77694966.00,31829,16.81,19.50,14.45
9-December-2014,413.70,416.95,398.20,400.10,406.807596465087602116,233556,7025,95012355.00,44711,19.14,18.75,-13.60
8-December-2014,420.00,424.40,412.90,414.90,418.199577652185588906,163846,4782,68520328.00,28915,17.65,11.50,-5.10
5-December-2014,423.90,431.00,418.50,419.75,423.662841730499514510,231725,7209,98173272.00,43191,18.64,12.50,-4.15
4-December-2014,417.50,423.30,409.95,421.05,416.898663338433046138,248380,6679,103549290.00,29482,11.87,13.35,3.55
3-December-2014,416.15,427.20,413.55,415.95,421.483436204069823512,331808,9246,139851576.00,63977,19.28,13.65,-0.20
