Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2014,862.00,878.85,862.00,875.00,873.143197158081705150,28150,578,24578981.00,25233,89.64,16.85,13.00
30-December-2014,871.05,883.30,863.05,869.35,871.071022290545734050,6505,660,5666317.00,2675,41.12,20.25,-1.70
29-December-2014,873.50,881.80,860.00,871.05,872.456944086575624838,19405,1319,16930027.00,12994,66.96,21.80,-2.45
26-December-2014,870.00,887.10,861.35,869.00,874.486115814426007450,17718,2214,15494145.00,5545,31.30,25.75,-1.00
24-December-2014,845.50,877.15,843.00,859.95,864.776296111665004985,16048,1575,13877930.00,4213,26.25,34.15,14.45
23-December-2014,861.25,871.45,840.05,850.90,853.621473805411629245,13896,1030,11861924.00,6219,44.75,31.40,-10.35
22-December-2014,859.55,872.05,849.35,854.75,857.979103322461164243,18089,1990,15519984.00,10358,57.26,22.70,-4.80
19-December-2014,875.55,896.00,846.30,857.40,879.653806293574524213,21228,1844,18673291.00,7970,37.54,49.70,-18.15
18-December-2014,880.50,888.75,856.60,879.10,870.249885186508139000,19597,1613,17054287.00,8217,41.93,32.15,-1.40
17-December-2014,865.40,875.00,810.00,865.45,853.348648471758622946,15279,1460,13038314.00,5159,33.77,65.00,0.05
16-December-2014,872.00,880.00,845.00,852.25,859.270756178035149148,14851,948,12761030.00,10409,70.09,35.00,-19.75
15-December-2014,869.35,899.00,868.00,878.35,885.936418226774991169,8493,941,7524258.00,4001,47.11,31.00,9.00
12-December-2014,895.60,915.25,869.10,873.50,888.119413338618571003,10091,852,8962013.00,2716,26.92,46.15,-22.10
11-December-2014,896.75,900.00,882.15,891.35,889.730488192311765328,9443,742,8401725.00,3721,39.40,17.85,-5.40
10-December-2014,909.45,915.00,892.15,896.40,901.809801502747560838,8917,915,8041438.00,3024,33.91,22.85,-13.05
9-December-2014,912.00,916.65,895.00,911.35,911.276105137395459976,58590,1052,53391667.00,50511,86.21,21.65,-0.65
8-December-2014,904.00,919.90,882.00,911.30,908.758691556773420106,11678,1288,10612484.00,2838,24.30,37.90,7.30
5-December-2014,921.00,921.00,886.60,893.95,907.852733191155011785,26727,1439,24264180.00,15226,56.97,34.40,-27.05
4-December-2014,898.80,932.75,897.05,914.30,920.833361695690812487,52887,4410,48700114.00,20562,38.88,35.70,15.50
3-December-2014,869.10,897.00,869.10,893.30,881.521872450558415618,35547,2132,31335458.00,14122,39.73,27.90,24.20
2-December-2014,878.00,896.35,860.00,864.35,878.062361770784235524,27581,1843,24217838.00,10419,37.78,36.35,-13.65
1-December-2014,859.10,888.00,859.10,877.25,870.796659254279360810,58011,1370,50515785.00,46563,80.27,28.90,18.15
28-November-2014,861.05,869.00,854.10,861.95,863.479393069509944638,9754,845,8422378.00,4034,41.36,14.90,0.90
27-November-2014,868.00,868.50,836.00,854.95,858.854893638023789546,20261,1409,17401259.00,9470,46.74,32.50,-13.05
26-November-2014,863.65,875.00,861.00,866.50,869.094089185301425395,15294,1047,13291925.00,3485,22.79,14.00,2.85
25-November-2014,875.70,887.20,850.25,865.80,866.303224576372172835,41959,1466,36349217.00,32391,77.20,36.95,-9.90
