SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1003.00,1013.00,1003.00,1013.00,1013.00,1000.45,2,2,2016.00,
934844,0MFL17      ,F ,D,1104.00,1105.00,1103.80,1105.00,1105.00,1105.50,14,322,355467.00,
934847,1050TCFS14  ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,1014.00,2,7,7105.00,
934848,1050TCFS14A ,F ,D,1550.02,1552.00,1550.00,1550.05,1550.05,1553.00,10,154,238706.00,
934857,1060SCUF15A ,F ,D,983.05,999.00,983.00,983.00,983.00,990.00,13,180,177811.00,
934871,1175MFL17   ,F ,D,1017.00,1017.00,1017.00,1017.00,1017.00,1012.00,2,100,101700.00,
934872,1200MFL17   ,F ,D,999.90,999.90,999.90,999.90,999.90,1000.00,1,10,9999.00,
934854,1275IIFL18  ,F ,D,1009.40,1009.40,1003.05,1003.99,1003.99,1004.75,9,202,202814.00,
934841,1300MFL14   ,F ,D,999.80,999.80,999.80,999.80,999.80,1000.77,1,30,29994.00,
934842,1325MFL15   ,F ,D,1000.00,1004.00,1000.00,1003.90,1003.90,1000.00,6,30,30089.00,
934843,1325MFL17   ,F ,D,1001.00,1001.00,999.00,999.00,999.00,997.00,4,45,45035.00,
948564,15EMAAR2015 ,F ,D,860000.00,860000.00,860000.00,860000.00,860000.00,910000.00,1,1,860000.00,
533022,20 MICRONS  ,B ,Q,31.00,31.45,30.30,30.45,30.35,31.00,179,35905,1105654.00,
526921,21ST CEN.MGM,T ,Q,4.90,4.90,4.90,4.90,4.90,4.67,3,900,4410.00,
532628,3I INFOTECH ,B ,Q,6.25,6.40,6.02,6.09,6.09,6.20,559,539116,3337994.00,
523395,3M INDIA LTD,B ,Q,3630.00,3719.00,3410.00,3604.95,3590.10,3695.95,64,766,2674723.00,
961758,704IRFC2028 ,F ,B,1000.00,1000.00,1000.00,1000.00,1000.00,0.00,3,1000,1000000.00,
961755,718IRFC2023 ,F ,B,1013.99,1013.99,1013.99,1013.99,1013.99,1013.00,1,500,506995.00,
961752,719IIFCL23  ,F ,B,996.20,999.00,996.20,999.00,999.00,996.10,3,1005,1003981.00,
961750,719PFC2023  ,F ,B,1000.00,1000.05,1000.00,1000.05,1000.05,1000.00,4,1502,1502025.00,
