SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1015.10,1015.10,1015.10,1015.10,1015.10,1015.00,1,10,10151.00,
934844,0MFL17      ,F ,D,1125.00,1130.00,1120.00,1121.00,1121.00,1125.00,10,378,424711.00,
934847,1050TCFS14  ,F ,D,1090.00,1090.00,1086.41,1087.65,1087.00,1090.00,14,430,467515.00,
934848,1050TCFS14A ,F ,D,1531.00,1531.00,1531.00,1531.00,1531.00,1531.51,2,10,15310.00,
934857,1060SCUF15A ,F ,D,1011.01,1011.01,1011.01,1011.01,1011.01,1010.80,4,100,101101.00,
934858,1075SCUF17B ,F ,D,1016.01,1027.00,1016.01,1017.40,1017.00,1025.00,9,245,249579.00,
934869,1150MFL14   ,F ,D,1019.00,1019.00,1019.00,1019.00,1019.00,1019.00,1,6,6114.00,
934871,1175MFL17   ,F ,D,1011.00,1018.00,1011.00,1012.05,1012.05,1010.00,6,49,49728.00,
934854,1275IIFL18  ,F ,D,1001.75,1002.85,1001.40,1002.58,1002.50,1002.06,24,764,765573.00,
934855,1275IIFL18A ,F ,D,1014.00,1014.00,1009.99,1009.99,1009.99,1012.78,8,113,114383.00,
934841,1300MFL14   ,F ,D,1105.00,1105.00,1100.00,1100.00,1100.00,1100.00,6,170,187625.00,
934843,1325MFL17   ,F ,D,1130.00,1135.00,1130.00,1135.00,1135.00,1130.00,3,75,84825.00,
533022,20 MICRONS  ,B ,Q,69.40,71.35,67.75,68.55,68.55,68.75,1394,360204,24885550.00,
526921,21ST CEN.MGM,T ,Q,4.35,4.35,4.34,4.35,4.35,4.15,17,9575,41640.00,
532628,3I INFOTECH ,T ,Q,8.10,8.44,8.01,8.06,8.06,8.04,1290,438521,3631815.00,
523395,3M INDIA LTD,B ,Q,3970.00,3970.00,3926.00,3926.00,3926.00,3940.25,29,191,754478.00,
961750,719PFC2023  ,F ,B,985.00,989.01,985.00,989.00,989.00,990.02,3,45,44485.00,
961748,722REC22TF  ,F ,B,995.01,995.01,995.01,995.01,995.01,997.77,1,20,19900.00,
961751,736PFC2028  ,F ,B,995.00,995.00,990.00,994.50,994.50,995.00,11,659,653504.00,
961749,738REC27TF  ,F ,B,1000.50,1000.50,1000.00,1000.00,1000.00,1000.00,16,3100,3100099.00,
961743,793REC22    ,F ,B,1089.00,1089.00,1055.10,1070.90,1064.10,1066.50,13,678,726067.00,
590116,7SEAS TECH  ,B ,Q,13.06,13.06,13.06,13.06,13.06,14.00,1,100,1306.00,
961744,812REC27    ,F ,B,1100.00,1100.10,1100.00,1100.10,1100.10,1100.00,5,351,386110.00,
961727,820NHAI22   ,F ,B,1100.00,1100.00,1093.03,1096.01,1096.01,1099.21,11,1551,1703648.00,
961729,820PFC2022  ,F ,B,1080.01,1083.50,1080.00,1080.60,1080.60,1082.50,15,2410,2606212.00,
961728,830NHAI27   ,F ,B,1110.00,1110.00,1101.00,1104.98,1104.98,1108.50,8,2101,2315992.00,
961730,830PFC2027  ,F ,B,1101.00,1101.00,1091.50,1093.01,1093.01,1100.00,13,802,876850.00,
512161,8KMILES     ,T ,Q,44.25,44.25,44.25,44.25,44.25,44.20,4,500,22125.00,
530499,A.K.CAPITAL ,B ,Q,225.00,228.00,220.00,224.70,224.00,218.60,44,1327,295391.00,
500009,A.SARABHAI  ,T ,Q,3.68,3.75,3.68,3.69,3.69,3.85,8,1886,6998.00,
533292,A2ZMES      ,B ,Q,39.60,40.40,38.55,38.95,38.95,39.50,1366,106705,4211655.00,
531611,AADHAARVEN  ,B ,Q,1.14,1.14,1.13,1.13,1.14,1.12,416,1629873,1857552.00,
530027,AADI INDUS L,B ,Q,3.74,3.80,3.36,3.72,3.73,3.54,7,6101,22690.00,
533412,AANJANEYA   ,B ,Q,760.00,784.00,729.00,745.05,732.00,762.55,785,46790,35747546.00,
524412,AAREY DRUGS ,T ,Q,41.30,41.30,41.30,41.30,41.30,43.45,39,3723,153759.00,
524348,AARTI DRUGS ,T ,Q,224.25,228.70,221.00,225.95,225.95,223.65,23,1732,390224.00,
524208,AARTI INDUST,B ,Q,101.10,102.30,100.00,100.80,100.80,99.80,135,8339,841805.00,
514274,AARVEE DENIM,B ,Q,78.60,78.60,75.00,75.65,75.00,76.35,17,2749,207823.00,
531731,AARYAGLOBL  ,T ,Q,9.51,9.70,9.24,9.54,9.25,9.63,759,331027,3158270.00,
523204,ABAN OFFSHO ,B ,Q,350.00,350.70,342.25,345.30,345.30,347.35,1691,50098,17355513.00,
500002,ABB LTD.    ,A ,Q,648.95,652.75,643.00,646.70,646.70,646.30,365,5529,3586629.00,
500488,ABBOTT (I)  ,B ,Q,1490.00,1490.00,1435.00,1440.00,1440.00,1433.35,18,145,213708.00,
520123,ABC INDIA   ,B ,Q,150.00,153.50,149.00,149.90,149.90,145.00,16,31422,4768499.00,
500057,ABCIL       ,B ,Q,104.90,108.80,103.00,104.45,103.75,102.05,1406,90517,9579209.00,
520155,ABG INFRALOG,B ,Q,111.00,111.00,97.55,99.10,99.85,101.15,26,874,87230.00,
532682,ABG SHIPYARD,B ,Q,386.60,396.40,383.10,385.50,383.50,396.15,215,3976,1548072.00,
532831,ABHI CORP LT,B ,Q,5.89,5.89,5.75,5.75,5.75,5.88,6,2851,16559.00,
526955,ABL BIO-TECH,B ,Q,3.00,3.25,3.00,3.25,3.25,3.10,5,2121,6888.00,
531161,ABM KNOWLEDG,B ,Q,54.00,55.00,51.55,53.95,51.55,53.80,6,304,16503.00,
