SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1008.20,1013.00,1003.00,1003.00,1003.00,1010.00,10,173,174392.00,
934844,0MFL17      ,F ,D,1120.00,1120.00,1113.00,1115.01,1115.01,1118.73,16,334,372393.00,
934873,0MFL18      ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,1020.00,1,10,10000.00,
934847,1050TCFS14  ,F ,D,1084.99,1085.00,1084.99,1084.99,1085.00,1078.50,4,155,168173.00,
934848,1050TCFS14A ,F ,D,1505.00,1516.00,1504.55,1515.55,1516.00,1511.54,18,732,1108390.00,
934858,1075SCUF17B ,F ,D,1025.00,1025.00,1025.00,1025.00,1025.00,1012.00,1,40,41000.00,
934869,1150MFL14   ,F ,D,1021.00,1021.00,1021.00,1021.00,1021.00,1020.00,1,11,11231.00,
934871,1175MFL17   ,F ,D,1012.00,1012.00,1008.10,1009.00,1009.00,1008.00,3,13,13111.00,
934854,1275IIFL18  ,F ,D,1007.00,1008.75,1007.00,1007.26,1007.05,1006.97,18,548,552435.00,
934841,1300MFL14   ,F ,D,1106.50,1106.50,1097.00,1097.00,1097.00,1107.00,5,21,23062.00,
934842,1325MFL15   ,F ,D,1110.00,1110.00,1110.00,1110.00,1110.00,1115.20,1,5,5550.00,
533022,20 MICRONS  ,B ,Q,151.40,153.80,149.60,150.70,150.70,150.55,1261,121076,18325934.00,
526921,21ST CEN.MGM,B ,Q,4.60,4.60,4.34,4.43,4.35,4.49,9,4396,19571.00,
532628,3I INFOTECH ,T ,Q,8.23,8.34,7.83,7.94,7.94,8.14,735,438238,3533352.00,
523395,3M INDIA LTD,B ,Q,4000.00,4035.00,4000.00,4035.00,4035.00,3980.50,4,125,503601.00,
961750,719PFC2023  ,F ,B,1001.01,1001.01,1001.01,1001.01,1001.01,1000.00,1,20,20020.00,
961751,736PFC2028  ,F ,B,1004.90,1004.90,996.01,1001.60,1001.60,1001.58,6,135,134954.00,
961749,738REC27TF  ,F ,B,1002.50,1006.00,1002.10,1002.17,1002.10,1001.63,24,2656,2665315.00,
961743,793REC22    ,F ,B,1069.01,1069.01,1069.01,1069.01,1069.01,1075.00,1,100,106901.00,
590116,7SEAS TECH  ,B ,Q,16.35,16.35,16.00,16.00,16.00,16.30,10,2504,40766.00,
961732,810IRFC2327 ,F ,B,1084.00,1085.25,1084.00,1085.25,1085.25,1081.51,3,30,32542.00,
961744,812REC27    ,F ,B,1102.01,1107.00,1101.51,1107.00,1107.00,1100.64,39,3760,4157843.00,
961727,820NHAI22   ,F ,B,1096.00,1100.00,1095.50,1100.00,1100.00,1102.50,3,30,32915.00,
961729,820PFC2022  ,F ,B,1081.99,1085.01,1081.99,1084.01,1084.01,1081.53,7,81,87772.00,
961728,830NHAI27   ,F ,B,1122.00,1134.79,1119.60,1125.00,1125.00,1125.00,13,490,551354.00,
961730,830PFC2027  ,F ,B,1121.00,1121.00,1120.00,1121.00,1121.00,1119.00,9,950,1064940.00,
961731,8IRFC230222 ,F ,B,1066.01,1067.00,1066.00,1067.00,1067.00,1069.85,7,236,251612.00,
512161,8KMILES     ,T ,Q,48.15,50.40,48.15,48.20,50.00,50.65,17,1911,92531.00,
530499,A.K.CAPITAL ,B ,Q,236.25,239.70,231.10,235.40,234.50,237.65,28,1031,241904.00,
500009,A.SARABHAI  ,T ,Q,4.25,4.25,4.00,4.05,4.05,4.06,13,3518,14269.00,
533292,A2ZMES      ,B ,Q,54.70,55.20,53.20,53.30,53.30,54.35,1349,142915,7702577.00,
531611,AADHAARVEN  ,B ,Q,0.99,0.99,0.98,0.98,0.98,0.98,824,6737449,6668955.00,
530027,AADI INDUS L,B ,Q,3.90,3.90,3.52,3.88,3.90,3.78,36,5852,22258.00,
533412,AANJANEYA   ,B ,Q,700.00,840.80,695.00,825.25,825.25,701.60,7872,154826,122627385.00,
524412,AAREY DRUGS ,T ,Q,60.95,61.00,57.60,59.30,59.30,59.65,80,56678,3355871.00,
524348,AARTI DRUGS ,T ,Q,236.40,237.00,230.00,231.00,231.00,237.40,53,1888,441957.00,
524208,AARTI INDUST,B ,Q,101.70,103.10,101.70,102.80,103.10,101.95,95,12694,1298109.00,
514274,AARVEE DENIM,B ,Q,75.55,77.75,75.30,76.10,76.00,77.00,68,2331,177743.00,
531731,AARYAGLOBL  ,B ,Q,9.70,9.95,9.35,9.77,9.82,9.48,325,342525,3343888.00,
519319,AASHEE      ,T ,Q,2.74,2.74,2.74,2.74,2.74,2.86,1,50,137.00,
523204,ABAN OFFSHO ,B ,Q,377.00,379.00,372.80,374.85,374.85,375.35,2103,59948,22522060.00,
500002,ABB LTD.    ,A ,Q,691.30,696.95,685.00,686.45,686.45,691.30,430,10708,7389532.00,
500488,ABBOTT (I)  ,B ,Q,1491.00,1491.00,1460.00,1472.00,1472.00,1485.10,63,543,800064.00,
513119,ABC GAS INT ,T ,Q,17.35,17.35,17.35,17.35,17.35,17.70,3,53,919.00,
520123,ABC INDIA   ,B ,Q,138.95,152.50,130.00,148.85,149.00,144.00,43,6627,975007.00,
500057,ABCIL       ,B ,Q,100.00,102.00,98.20,99.35,99.40,100.85,98,2589,256923.00,
520155,ABG INFRALOG,B ,Q,119.40,119.40,106.05,106.45,106.45,110.00,20,230,24576.00,
532682,ABG SHIPYARD,B ,Q,385.00,388.00,376.25,384.20,384.20,383.25,266,4145,1582171.00,
532831,ABHI CORP LT,B ,Q,6.21,6.25,6.00,6.00,6.00,6.22,7,701,4342.00,
526955,ABL BIO-TECH,B ,Q,3.76,3.76,3.76,3.76,3.76,3.95,3,435,1635.00,
531161,ABM KNOWLEDG,B ,Q,60.60,61.20,60.60,61.10,61.10,61.05,10,466,28392.00,
532974,ABML        ,B ,Q,20.85,20.85,19.30,20.30,20.25,20.25,34,5484,110486.00,
500410,ACC LTD     ,A ,Q,1385.00,1385.00,1350.00,1361.25,1361.25,1386.00,1847,54414,74095030.00,
532774,ACCEL FRONTL,B ,Q,31.10,31.50,30.20,30.25,30.95,30.75,105,21175,655900.00,
517494,ACCEL TRANS ,B ,Q,6.71,7.20,6.71,6.79,6.73,7.17,6,1453,9871.00,
532268,ACCELYA     ,T ,Q,356.00,369.70,356.00,361.40,361.00,359.75,29,1104,398932.00,
531897,ACCENT TECH ,B ,Q,48.50,48.75,47.50,48.25,48.25,48.70,81,20018,962984.00,
526347,ACCLAIM IND ,B ,Q,15.88,16.01,15.40,16.00,16.00,15.25,317,368401,5745733.00,
530513,ACCURATE TRA,B ,Q,34.65,37.00,34.50,37.00,37.00,36.00,6,451,15695.00,
531525,ACE SOFTWARE,B ,Q,9.30,9.30,9.30,9.30,9.30,9.55,2,200,1860.00,
517356,ACI INFOCOM ,T ,Q,151.00,154.95,149.00,153.55,153.75,152.70,53,65817,10100512.00,
530901,ACIL        ,T ,Q,0.12,0.12,0.11,0.11,0.12,0.12,61,509043,60987.00,
533330,ACROPET TEC ,B ,Q,11.84,11.84,11.50,11.52,11.52,11.44,168,28021,325427.00,
524091,ACRYCIL LTD.,B ,Q,110.35,114.10,110.35,113.65,113.65,113.00,14,622,70323.00,
532762,ACTION CONST,B ,Q,21.60,22.05,21.10,21.25,21.25,21.40,282,52481,1124940.00,
511706,ACTION FIN. ,T ,Q,22.40,22.40,22.40,22.40,22.40,23.55,1,100,2240.00,
512599,ADANI ENTER ,A ,Q,263.85,268.65,261.60,266.00,266.00,262.95,3589,193522,51405026.00,
532921,ADANI PORTS ,A ,Q,135.85,136.60,133.65,134.15,134.15,135.60,771,68456,9222104.00,
533096,ADANI POWER ,A ,Q,65.35,66.00,64.10,65.25,65.25,65.35,2384,520929,33950437.00,
526711,ADARSH PLANT,B ,Q,3.95,4.25,3.90,4.25,4.25,4.05,4,2306,9353.00,
523411,ADCINDIA    ,B ,Q,182.00,182.00,174.00,179.45,180.00,180.00,25,994,178128.00,
519183,ADF FOODS LT,B ,Q,98.00,98.00,85.70,87.55,87.55,91.70,2444,150682,13334172.00,
514113,ADHINATH TEX,T ,Q,4.01,4.05,4.01,4.05,4.05,3.87,3,1000,4018.00,
532727,ADHUNIK MET ,B ,Q,43.55,43.55,41.75,42.10,42.10,43.05,480,358865,15115224.00,
500303,ADI BIR NUVO,A ,Q,1155.00,1169.40,1152.25,1160.55,1160.55,1148.85,1469,28146,32676957.00,
530117,ADIFINCHM   ,B ,Q,58.00,58.00,56.15,57.85,56.15,57.90,9,2650,153517.00,
590088,ADINATH BIO ,B ,Q,0.66,0.66,0.61,0.63,0.65,0.64,25,25352,15584.00,
513513,ADITYA ISPAT,B ,Q,4.24,4.24,4.08,4.24,4.24,4.29,9,4232,17548.00,
511359,AD-MANUM FIN,B ,Q,30.90,31.00,29.10,29.85,30.00,30.50,5,1161,34688.00,
530431,ADOR FONTECH,B ,Q,87.00,88.05,86.20,87.50,87.50,87.00,34,7800,684470.00,
517041,ADORWELDING ,B ,Q,138.05,140.65,138.00,138.95,138.95,138.80,136,4178,579626.00,
512149,ADVANCE TECH,B ,Q,0.22,0.23,0.21,0.21,0.21,0.22,179,1201766,255196.00,
517552,ADVANCED MIC,B ,Q,34.50,34.50,33.00,34.00,34.00,34.45,118,641,21627.00,
532840,ADVANTA     ,B ,Q,1004.00,1006.00,990.05,991.95,991.95,999.30,109,1041,1037820.00,
531429,ADVENT COMP.,B ,Q,2.42,2.42,2.20,2.30,2.30,2.23,4,301,672.00,
531686,ADVIK LABORS,B ,Q,6.51,6.85,6.21,6.26,6.26,6.87,20,9302,59035.00,
500003,AEGIS LOGIS ,B ,Q,180.15,181.75,178.05,178.85,178.85,179.55,257,6444,1158255.00,
503655,AEONIAN PUB ,B ,Q,152.10,165.80,152.00,161.15,160.00,156.55,15,378,60737.00,
530707,AFTEK LTD   ,B ,Q,10.35,10.44,9.82,9.92,9.92,10.08,546,198208,1997943.00,
531921,AGAR IND COR,B ,Q,131.05,131.05,128.00,128.60,130.00,130.60,51,5085,659921.00,
500463,AGCNET      ,B ,Q,212.00,213.80,209.00,209.10,209.10,212.10,92,1614,341039.00,
519281,AGRO DUTCH I,B ,Q,3.76,3.80,3.70,3.78,3.78,3.78,30,5683,21197.00,
500215,AGRO TECH FO,B ,Q,503.00,506.00,500.00,500.65,501.00,503.20,35,1243,623562.00,
524448,AHLCON PAREN,B ,Q,348.00,348.00,328.05,334.95,334.95,349.85,12,278,93120.00,
532811,AHLUWALIA CO,B ,Q,37.50,38.35,37.25,38.30,38.35,37.55,614,2732,103491.00,
513335,AHMED.FORG  ,B ,Q,142.00,142.85,141.00,141.80,142.85,142.65,155,11407,1617088.00,
532683,AIAENGINEER ,B ,Q,330.00,340.00,322.05,334.75,339.90,330.00,369,891,292471.00,
532309,AIL         ,B ,Q,387.00,387.00,378.30,382.30,382.20,384.25,219,3565,1364107.00,
524288,AIMCO PESTI.,T ,Q,6.75,6.75,6.75,6.75,6.75,6.43,5,7208,48654.00,
534064,AIML        ,B ,Q,181.15,181.15,181.15,181.15,181.15,177.60,2,350,63402.00,
532975,AISHWARYA TE,T ,Q,13.50,13.50,12.74,12.90,12.74,13.41,66,28891,371956.00,
532331,AJANTA PHARM,B ,Q,392.15,409.00,390.00,406.75,406.75,392.15,283,156410,62212546.00,
519216,AJANTA SOYA ,B ,Q,10.17,10.17,9.71,9.71,9.71,9.99,2,10,99.00,
511692,AJCON GLOBAL,B ,Q,17.80,17.80,16.75,17.00,17.00,17.60,23,12064,207807.00,
530713,AJEL        ,B ,Q,5.04,5.51,5.03,5.47,5.51,5.29,9,337,1783.00,
513349,AJMERA      ,B ,Q,131.95,131.95,129.00,129.65,131.85,129.15,72,5457,708323.00,
530621,AKAR TOOLS L,B ,Q,27.80,27.80,25.90,27.05,27.10,26.70,10,17260,453991.00,
532351,AKSH OPTIFIB,B ,Q,16.65,17.00,16.45,16.70,16.65,17.00,115,19094,318233.00,
524598,AKSHARCHEM I,T ,Q,21.90,21.90,21.90,21.90,21.90,20.90,1,20,438.00,
500710,AKZOINDIA   ,B ,Q,975.00,996.00,975.00,990.55,993.00,975.70,116,57014,55969396.00,
