SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1090.00,1092.00,1090.00,1092.00,1092.00,1092.00,13,98,106920.00,
934873,0MFL18      ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,975.00,1,5,5000.00,
934847,1050TCFS14  ,F ,D,1025.00,1048.92,1024.00,1024.00,1024.00,1024.25,4,105,108287.00,
934848,1050TCFS14A ,F ,D,1570.00,1571.00,1569.00,1571.00,1571.00,1570.00,4,170,266855.00,
934857,1060SCUF15A ,F ,D,1015.00,1018.00,1015.00,1018.00,1018.00,1010.00,6,175,177849.00,
934869,1150MFL14   ,F ,D,968.01,976.00,968.01,973.58,976.00,975.00,10,101,98053.00,
934871,1175MFL17   ,F ,D,1016.00,1025.00,1013.11,1017.51,1020.00,1019.00,5,105,106925.00,
934854,1275IIFL18  ,F ,D,1013.00,1019.25,1013.00,1019.25,1019.25,1013.95,21,959,975530.00,
934841,1300MFL14   ,F ,D,1002.00,1002.00,1001.00,1001.00,1001.00,1000.01,2,25,25035.00,
934842,1325MFL15   ,F ,D,1039.90,1039.90,1039.90,1039.90,1039.90,1005.01,2,20,20798.00,
533022,20 MICRONS  ,B ,Q,31.30,31.30,30.50,30.60,30.60,30.55,93,42300,1303535.00,
526921,21ST CEN.MGM,T ,Q,4.02,4.05,3.97,4.01,4.05,4.06,17,20759,83031.00,
532628,3I INFOTECH ,B ,Q,5.95,6.05,5.70,5.87,5.87,6.02,1106,466941,2742122.00,
523395,3M INDIA LTD,B ,Q,3650.00,3675.00,3650.00,3674.00,3674.00,3650.00,4,4,14649.00,
961761,697DCI2023  ,F ,B,950.01,950.01,950.01,950.01,950.01,0.00,1,50,47500.00,
961752,719IIFCL23  ,F ,B,1025.00,1025.00,1025.00,1025.00,1025.00,1021.50,1,10,10250.00,
961748,722REC22TF  ,F ,B,1035.00,1035.00,1035.00,1035.00,1035.00,1035.17,3,100,103500.00,
961756,734IRFC2028 ,F ,B,1038.00,1038.00,1038.00,1038.00,1038.00,1040.00,1,2000,2076000.00,
961754,740IIFCL33  ,F ,B,1041.00,1042.75,1041.00,1041.04,1041.00,1040.00,16,7645,7959876.00,
590116,7SEAS TECH  ,B ,Q,12.27,12.27,12.00,12.00,12.00,11.16,5,2051,24612.00,
961744,812REC27    ,F ,B,1151.99,1157.00,1148.00,1149.89,1148.00,1152.00,22,2939,3384645.00,
961727,820NHAI22   ,F ,B,1125.00,1128.00,1124.00,1124.00,1124.00,1120.00,26,4340,4882722.00,
961729,820PFC2022  ,F ,B,1122.00,1122.00,1115.00,1115.00,1115.00,1112.00,4,300,335910.00,
961728,830NHAI27   ,F ,B,1147.00,1148.00,1146.00,1148.00,1148.00,1147.97,26,360,412880.00,
961730,830PFC2027  ,F ,B,1144.00,1144.95,1144.00,1144.00,1144.00,1144.00,7,2317,2650871.00,
512161,8KMILES     ,B ,Q,57.00,62.00,56.00,60.05,60.05,56.00,87,41402,2473382.00,
934846,975TCFS14II ,F ,D,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1,75,76500.00,
530499,A.K.CAPITAL ,B ,Q,168.40,189.75,161.10,179.35,178.40,160.25,774,18511,3351774.00,
500009,A.SARABHAI  ,T ,Q,2.51,2.75,2.50,2.75,2.75,2.62,5,479,1268.00,
533292,A2ZMES      ,T ,Q,18.50,19.50,18.30,19.15,19.50,19.10,121,27003,508134.00,
531611,AADHAARVEN  ,B ,Q,0.48,0.52,0.48,0.50,0.52,0.50,99,402481,195043.00,
530027,AADI INDUS L,B ,Q,2.99,2.99,2.99,2.99,2.99,3.14,1,10,29.00,
533412,AANJANEYA   ,B ,Q,73.65,74.95,72.00,72.30,72.30,73.85,515,19985,1466986.00,
524412,AAREY DRUGS ,B ,Q,15.55,15.55,15.55,15.55,15.55,15.25,10,865,13450.00,
524348,AARTI DRUGS ,B ,Q,182.00,182.00,177.15,180.15,181.00,178.10,75,2493,448917.00,
