SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1068.99,1068.99,1005.00,1007.15,1005.00,1002.50,3,103,103736.00,
934844,0MFL17      ,F ,D,1090.00,1090.00,1080.00,1080.00,1080.00,1077.61,6,55,59502.00,
934873,0MFL18      ,F ,D,973.00,995.00,960.00,995.00,995.00,981.50,3,16,15762.00,
934847,1050TCFS14  ,F ,D,1017.00,1017.00,1016.00,1016.20,1016.20,1014.00,10,150,152506.00,
934857,1060SCUF15A ,F ,D,1000.00,1000.05,997.01,1000.05,1000.05,998.00,14,573,572917.00,
934858,1075SCUF17B ,F ,D,1003.00,1020.00,1002.01,1014.00,1014.00,1002.18,10,414,418486.00,
934870,1175MFL15   ,F ,D,936.33,936.33,936.33,936.33,936.33,970.00,1,2,1872.00,
934871,1175MFL17   ,F ,D,1010.00,1015.00,1010.00,1015.00,1015.00,1013.89,10,260,263889.00,
934854,1275IIFL18  ,F ,D,1011.90,1011.90,1010.00,1010.73,1010.73,1009.90,16,131,132428.00,
934855,1275IIFL18A ,F ,D,1010.00,1010.00,1008.01,1008.01,1008.01,1014.01,2,37,37326.00,
934841,1300MFL14   ,F ,D,1022.99,1022.99,1000.00,1000.01,1000.01,995.22,4,55,55510.00,
934842,1325MFL15   ,F ,D,998.25,1005.00,998.25,1005.00,1005.00,996.50,7,95,95157.00,
948564,15EMAAR2015 ,F ,D,912000.00,912000.00,912000.00,912000.00,912000.00,860000.00,1,1,912000.00,
533022,20 MICRONS  ,B ,Q,31.95,32.00,30.45,30.80,30.80,30.95,227,25395,786867.00,
532628,3I INFOTECH ,B ,Q,5.75,5.95,5.70,5.91,5.91,5.69,381,141614,824467.00,
523395,3M INDIA LTD,B ,Q,3430.00,3523.80,3420.00,3515.75,3510.00,3411.25,27,96,332176.00,
961755,718IRFC2023 ,F ,B,1019.00,1021.99,1019.00,1021.99,1021.99,1019.00,33,480,490546.00,
961752,719IIFCL23  ,F ,B,1003.00,1003.00,1003.00,1003.00,1003.00,1003.00,1,3,3009.00,
961750,719PFC2023  ,F ,B,1018.00,1018.00,1018.00,1018.00,1018.00,1016.00,2,30,30540.00,
961748,722REC22TF  ,F ,B,1023.00,1023.00,1023.00,1023.00,1023.00,1022.00,18,250,255750.00,
961764,734HUDCO23  ,F ,B,1017.00,1017.00,1017.00,1017.00,1017.00,1015.00,1,3,3051.00,
961756,734IRFC2028 ,F ,B,1012.00,1024.99,1012.00,1024.99,1024.99,1010.60,8,1502,1538552.00,
961753,736IIFCL28  ,F ,B,1009.00,1019.01,1009.00,1019.01,1019.01,1007.00,2,51,51959.00,
961751,736PFC2028  ,F ,B,1022.00,1025.00,1022.00,1024.99,1025.00,1021.00,34,830,848424.00,
961754,740IIFCL33  ,F ,B,1026.40,1026.40,1025.10,1025.10,1025.10,1026.16,3,101,103548.00,
