SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1104.00,1108.50,1104.00,1107.00,1107.00,1105.00,10,590,652926.00,
934847,1050TCFS14  ,F ,D,1015.00,1016.00,1014.00,1015.83,1015.00,1015.00,21,590,599000.00,
934848,1050TCFS14A ,F ,D,1551.10,1555.00,1551.09,1553.91,1554.99,1550.05,20,708,1098696.00,
934857,1060SCUF15A ,F ,D,988.00,990.00,983.00,987.90,990.00,983.00,17,515,507747.00,
934858,1075SCUF17B ,F ,D,1000.00,1003.00,1000.00,1002.47,1000.00,999.00,4,135,135210.00,
934872,1200MFL17   ,F ,D,971.00,971.00,971.00,971.00,971.00,999.90,1,6,5826.00,
934854,1275IIFL18  ,F ,D,1003.10,1006.78,1003.10,1003.60,1003.60,1003.99,16,675,678241.00,
934841,1300MFL14   ,F ,D,998.00,1004.00,990.00,1003.95,1003.95,999.80,8,122,122292.00,
934843,1325MFL17   ,F ,D,1001.10,1001.10,1001.10,1001.10,1001.10,999.00,9,85,85093.00,
533022,20 MICRONS  ,B ,Q,31.25,31.35,30.25,30.45,30.55,30.45,234,19748,603621.00,
526921,21ST CEN.MGM,T ,Q,4.92,5.14,4.72,4.72,4.72,4.90,12,4570,23224.00,
532628,3I INFOTECH ,B ,Q,6.00,6.10,5.81,5.90,5.90,6.09,417,175377,1036355.00,
523395,3M INDIA LTD,B ,Q,3524.95,3601.00,3444.95,3459.90,3459.90,3604.95,109,461,1629322.00,
961766,703HUDCO23  ,F ,B,950.00,950.00,950.00,950.00,950.00,0.00,1,5,4750.00,
961755,718IRFC2023 ,F ,B,1015.99,1015.99,1015.99,1015.99,1015.99,1013.99,1,500,507995.00,
961752,719IIFCL23  ,F ,B,1003.00,1003.00,999.00,999.20,999.00,999.00,3,25,24980.00,
961750,719PFC2023  ,F ,B,1000.05,1003.20,1000.05,1003.20,1003.20,1000.05,23,1907,1912735.00,
961748,722REC22TF  ,F ,B,1012.00,1013.50,1012.00,1012.00,1012.00,1012.00,9,1400,1416812.00,
961756,734IRFC2028 ,F ,B,1019.99,1019.99,1019.99,1019.99,1019.99,1004.00,1,205,209097.00,
961753,736IIFCL28  ,F ,B,1007.00,1007.00,1007.00,1007.00,1007.00,1000.20,1,1,1007.00,
961751,736PFC2028  ,F ,B,1005.00,1008.50,1005.00,1008.50,1008.50,1002.10,16,1885,1898990.00,
961749,738REC27TF  ,F ,B,1020.00,1020.00,1017.50,1017.50,1017.50,1020.00,5,60,61175.00,
961754,740IIFCL33  ,F ,B,1021.00,1021.00,1021.00,1021.00,1021.00,1021.12,4,600,612600.00,
961743,793REC22    ,F ,B,1092.00,1092.00,1092.00,1092.00,1092.00,1091.00,15,225,245700.00,
590116,7SEAS TECH  ,B ,Q,13.21,13.21,13.10,13.12,13.10,13.76,4,81,1066.00,
961744,812REC27    ,F ,B,1118.00,1120.00,1117.00,1118.51,1118.51,1119.68,31,12228,13682609.00,
961727,820NHAI22   ,F ,B,1095.55,1101.00,1095.55,1100.95,1101.00,1097.00,20,2234,2457660.00,
961729,820PFC2022  ,F ,B,1087.03,1089.00,1087.03,1088.04,1088.01,1087.03,12,269,292672.00,
961728,830NHAI27   ,F ,B,1122.00,1123.00,1120.00,1121.00,1121.00,1117.30,13,2396,2684880.00,
961730,830PFC2027  ,F ,B,1113.01,1113.01,1113.01,1113.01,1113.01,1113.98,1,30,33390.00,
961731,8IRFC230222 ,F ,B,1075.00,1075.00,1075.00,1075.00,1075.00,1075.00,1,1,1075.00,
512161,8KMILES     ,B ,Q,54.75,54.75,51.25,53.10,53.10,53.30,30,9955,529145.00,
530499,A.K.CAPITAL ,B ,Q,151.70,168.00,151.70,157.95,154.55,161.30,41,54726,8458765.00,
500009,A.SARABHAI  ,B ,Q,2.85,2.85,2.85,2.85,2.85,2.72,16,8513,24262.00,
533292,A2ZMES      ,B ,Q,23.00,23.00,21.05,21.15,21.15,22.15,1981,388543,8401776.00,
531611,AADHAARVEN  ,B ,Q,0.55,0.55,0.53,0.55,0.55,0.53,132,1426440,780868.00,
530027,AADI INDUS L,B ,Q,4.19,4.19,3.75,4.13,4.15,4.12,29,11218,45860.00,
533412,AANJANEYA   ,B ,Q,107.70,107.70,107.70,107.70,107.70,113.35,26,590,63543.00,
524412,AAREY DRUGS ,B ,Q,15.10,15.40,14.80,14.80,14.80,15.10,93,22563,336138.00,
524348,AARTI DRUGS ,B ,Q,157.50,157.50,149.95,152.70,152.70,150.00,427,25467,3957115.00,
524208,AARTI INDUST,B ,Q,79.00,79.75,78.00,78.35,79.30,79.25,73,4987,391562.00,
514274,AARVEE DENIM,B ,Q,35.00,37.55,35.00,36.40,37.55,36.05,3,17,597.00,
