SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1111.00,1111.00,1111.00,1111.00,1111.00,1109.99,1,25,27775.00,
934873,0MFL18      ,F ,D,998.99,999.00,998.99,999.00,999.00,990.00,2,100,99899.00,
934847,1050TCFS14  ,F ,D,1020.41,1020.41,1020.41,1020.41,1020.41,1020.41,1,1,1020.00,
934848,1050TCFS14A ,F ,D,1577.00,1577.00,1577.00,1577.00,1577.00,1576.00,1,5,7885.00,
934858,1075SCUF17B ,F ,D,1019.00,1019.00,1019.00,1019.00,1019.00,1027.00,1,50,50950.00,
934869,1150MFL14   ,F ,D,987.01,987.01,987.00,987.00,987.00,986.00,2,3,2961.00,
934854,1275IIFL18  ,F ,D,1045.00,1048.00,1040.00,1045.00,1045.00,1040.18,23,1150,1201738.00,
934855,1275IIFL18A ,F ,D,1037.48,1037.48,1037.48,1037.48,1037.48,1034.80,1,1,1037.00,
934841,1300MFL14   ,F ,D,1018.00,1018.00,1015.00,1015.00,1015.00,1018.70,6,255,259290.00,
934842,1325MFL15   ,F ,D,1018.00,1018.00,1018.00,1018.00,1018.00,1020.00,1,25,25450.00,
934843,1325MFL17   ,F ,D,1050.00,1050.00,1025.01,1025.01,1025.01,1025.00,6,86,89205.00,
533022,20 MICRONS  ,B ,Q,30.45,30.85,30.35,30.55,30.55,30.65,41,30535,933338.00,
526921,21ST CEN.MGM,T ,Q,3.99,3.99,3.99,3.99,3.99,3.80,1,50,199.00,
532628,3I INFOTECH ,B ,Q,5.69,5.69,4.97,5.00,5.00,5.09,373,290628,1460041.00,
523395,3M INDIA LTD,B ,Q,3550.00,3699.95,3550.00,3624.00,3624.00,3596.65,22,133,481886.00,
961773,704PFC2028  ,F ,B,968.55,968.55,968.55,968.55,968.55,968.45,1,50,48427.00,
961763,717EPL2028  ,F ,B,972.00,972.00,972.00,972.00,972.00,972.00,2,35,34020.00,
961752,719IIFCL23  ,F ,B,1037.00,1037.00,1030.01,1034.99,1034.99,1037.00,5,122,126057.00,
961748,722REC22TF  ,F ,B,1036.51,1040.00,1036.50,1037.00,1037.00,1040.00,4,1030,1070760.00,
961756,734IRFC2028 ,F ,B,1045.11,1045.11,1045.10,1045.10,1045.10,1045.00,2,150,156765.00,
