SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1085.01,1086.16,1058.13,1074.12,1070.00,1085.01,34,837,898526.00,
934847,1050TCFS14  ,F ,D,1017.00,1020.00,1017.00,1019.00,1019.00,1017.00,7,145,147660.00,
934848,1050TCFS14A ,F ,D,1575.00,1575.25,1575.00,1575.25,1575.25,1575.00,4,53,83475.00,
934857,1060SCUF15A ,F ,D,1005.00,1009.00,995.00,1009.00,1009.00,1009.00,8,191,192547.00,
934858,1075SCUF17B ,F ,D,1014.00,1023.90,1013.00,1015.10,1015.10,1014.00,6,450,456750.00,
934869,1150MFL14   ,F ,D,978.00,989.00,978.00,979.00,979.00,980.00,5,222,217156.00,
934871,1175MFL17   ,F ,D,1015.00,1015.00,1012.05,1012.05,1012.05,1002.00,4,113,114627.00,
934854,1275IIFL18  ,F ,D,1011.40,1011.40,1007.75,1008.50,1008.50,1008.00,30,1591,1604289.00,
934855,1275IIFL18A ,F ,D,1008.00,1008.00,1008.00,1008.00,1008.00,1025.00,1,4,4032.00,
934841,1300MFL14   ,F ,D,999.00,1001.88,990.01,1001.88,1001.88,996.70,17,490,486854.00,
934842,1325MFL15   ,F ,D,1042.00,1042.00,1006.17,1007.01,1007.01,1010.00,5,220,221724.00,
934843,1325MFL17   ,F ,D,1011.00,1011.00,1002.16,1009.80,1009.80,1007.50,14,383,385333.00,
533022,20 MICRONS  ,B ,Q,30.50,31.50,30.50,30.75,30.60,30.70,84,21165,654147.00,
526921,21ST CEN.MGM,T ,Q,4.16,4.16,4.16,4.16,4.16,4.37,2,1000,4160.00,
532628,3I INFOTECH ,B ,Q,5.85,5.85,5.55,5.60,5.60,5.61,316,87821,493539.00,
523395,3M INDIA LTD,B ,Q,3567.15,3578.00,3501.20,3535.10,3535.10,3525.15,11,53,188062.00,
961769,686IIFCL23  ,F ,B,950.01,950.01,950.01,950.01,950.01,0.00,1,49,46550.00,
961752,719IIFCL23  ,F ,B,1012.26,1012.26,1012.25,1012.25,1012.25,1003.00,3,50,50612.00,
961750,719PFC2023  ,F ,B,1021.00,1025.00,1021.00,1025.00,1025.00,1025.00,8,105,107225.00,
961748,722REC22TF  ,F ,B,1028.50,1035.00,1028.50,1035.00,1035.00,1027.50,3,224,230540.00,
961756,734IRFC2028 ,F ,B,1030.00,1035.00,1030.00,1031.90,1031.90,1030.00,6,4200,4338380.00,
961751,736PFC2028  ,F ,B,1032.00,1032.00,1032.00,1032.00,1032.00,1026.25,1,5,5160.00,
961749,738REC27TF  ,F ,B,1035.50,1043.90,1035.50,1043.90,1043.90,1035.50,11,3840,3981283.00,
961754,740IIFCL33  ,F ,B,1032.00,1033.25,1032.00,1032.43,1032.01,1031.49,65,35436,36597870.00,
961765,751HUDCO28  ,F ,B,1035.00,1040.00,1035.00,1035.01,1035.01,1036.00,22,525,544375.00,
961743,793REC22    ,F ,B,1115.63,1115.63,1115.60,1115.60,1115.60,1120.00,2,100,111562.00,
590116,7SEAS TECH  ,B ,Q,9.51,10.51,9.51,10.51,10.51,10.01,8,1275,12810.00,
961732,810IRFC2327 ,F ,B,1118.00,1121.00,1118.00,1121.00,1121.00,1113.00,4,1500,1679500.00,
961744,812REC27    ,F ,B,1138.00,1147.50,1138.00,1141.51,1142.00,1139.25,63,7342,8382816.00,
961727,820NHAI22   ,F ,B,1124.40,1124.49,1118.63,1120.00,1120.00,1120.15,23,938,1050556.00,
961729,820PFC2022  ,F ,B,1114.00,1116.00,1111.01,1116.00,1116.00,1114.00,7,378,420844.00,
961728,830NHAI27   ,F ,B,1150.00,1152.10,1150.00,1152.00,1152.00,1150.00,11,2991,3442728.00,
961730,830PFC2027  ,F ,B,1145.25,1145.25,1140.50,1140.79,1141.00,1141.99,29,2504,2858563.00,
512161,8KMILES     ,B ,Q,55.00,55.00,53.00,53.35,53.40,52.90,16,1643,87638.00,
934845,975TCFS14   ,F ,D,103000.00,103000.00,103000.00,103000.00,103000.00,110739.00,1,1,103000.00,
530499,A.K.CAPITAL ,B ,Q,159.75,159.75,155.00,156.40,155.00,155.00,32,2686,422537.00,
500009,A.SARABHAI  ,T ,Q,2.36,2.57,2.36,2.45,2.45,2.45,14,1490,3687.00,
533292,A2ZMES      ,T ,Q,18.95,19.15,18.20,19.00,19.00,18.80,126,23274,435796.00,
531611,AADHAARVEN  ,B ,Q,0.47,0.51,0.47,0.49,0.49,0.49,302,1765832,859369.00,
530027,AADI INDUS L,B ,Q,4.09,4.09,4.09,4.09,4.09,3.92,2,20,81.00,
533412,AANJANEYA   ,B ,Q,92.85,92.85,86.30,90.70,90.70,88.45,2503,346658,31841383.00,
524412,AAREY DRUGS ,B ,Q,12.60,13.05,12.55,13.05,13.05,12.80,54,11170,143628.00,
524348,AARTI DRUGS ,B ,Q,180.00,182.00,176.75,177.80,177.80,179.15,90,2458,439380.00,
524208,AARTI INDUST,B ,Q,92.00,92.00,90.25,90.80,91.00,92.20,36,1302,118253.00,
514274,AARVEE DENIM,B ,Q,35.00,35.00,34.00,34.20,34.10,35.00,35,2171,74814.00,
531731,AARYAGLOBL  ,T ,Q,6.80,6.81,6.47,6.75,6.75,6.81,129,177488,1199574.00,
523204,ABAN OFFSHO ,B ,Q,317.15,334.00,317.15,325.60,325.60,310.05,14275,526060,172137396.00,
700099,ABANOFFSH   ,B ,P,327.00,327.00,327.00,327.00,327.00,390.24,1,8,2616.00,
500002,ABB LTD.    ,A ,Q,517.00,533.65,513.65,518.35,518.35,519.55,734,11526,6038202.00,
500488,ABBOTT (I)  ,B ,Q,1400.00,1443.90,1400.00,1425.50,1425.50,1406.85,149,1538,2197679.00,
520123,ABC INDIA   ,B ,Q,117.00,128.00,117.00,128.00,128.00,111.00,10,2303,273091.00,
500057,ABCIL       ,B ,Q,78.00,81.95,78.00,78.30,78.30,78.50,20,525,41036.00,
532682,ABG SHIPYARD,B ,Q,322.00,324.95,316.20,321.25,320.00,321.90,159,1759,564975.00,
526955,ABL BIO-TECH,T ,Q,2.30,2.30,2.30,2.30,2.30,2.41,1,1000,2300.00,
