SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1095.01,1100.00,1095.01,1100.00,1100.00,1095.97,4,130,142975.00,
934880,1035SREI16  ,F ,D,1200.00,1200.00,1200.00,1200.00,1200.00,0.00,1,10,12000.00,
934847,1050TCFS14  ,F ,D,1021.55,1023.48,1018.15,1023.20,1023.48,1023.37,9,225,229748.00,
934848,1050TCFS14A ,F ,D,1572.11,1572.11,1572.11,1572.11,1572.11,1571.00,2,60,94326.00,
934857,1060SCUF15A ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,1021.99,1,100,101500.00,
934858,1075SCUF17B ,F ,D,1021.12,1023.07,1021.12,1023.07,1023.07,1024.00,2,26,26582.00,
934869,1150MFL14   ,F ,D,978.00,978.00,978.00,978.00,978.00,975.00,1,3,2934.00,
934871,1175MFL17   ,F ,D,1013.00,1013.00,1006.15,1006.15,1006.15,1011.02,5,60,60552.00,
934883,11SREI18IV  ,F ,D,1005.00,1006.00,1005.00,1006.00,1006.00,1003.00,2,20,20110.00,
934854,1275IIFL18  ,F ,D,1026.00,1026.00,1021.50,1021.80,1021.80,1024.64,19,503,514630.00,
934855,1275IIFL18A ,F ,D,1040.00,1040.00,1002.75,1018.25,1033.75,1090.00,7,55,57026.00,
934841,1300MFL14   ,F ,D,1013.00,1013.00,1005.00,1005.00,1005.00,1009.99,4,115,115694.00,
934843,1325MFL17   ,F ,D,1008.00,1015.00,1008.00,1015.00,1015.00,1008.01,2,14,14147.00,
533022,20 MICRONS  ,B ,Q,32.00,32.30,30.50,31.65,31.65,30.60,308,32950,1037255.00,
532628,3I INFOTECH ,B ,Q,5.89,5.89,5.62,5.67,5.70,5.79,641,327599,1867028.00,
523395,3M INDIA LTD,B ,Q,3760.00,3774.00,3699.00,3700.00,3700.00,3750.00,35,182,675202.00,
961759,688REC2023  ,F ,B,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,2,480,480000.00,
961752,719IIFCL23  ,F ,B,1022.01,1022.01,1022.01,1022.01,1022.01,1030.00,1,10,10220.00,
961750,719PFC2023  ,F ,B,1025.10,1025.10,1025.10,1025.10,1025.10,1025.10,1,15,15376.00,
961748,722REC22TF  ,F ,B,1036.00,1036.00,1035.10,1035.10,1035.10,1035.26,3,75,77641.00,
