SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1039.02,1040.00,1039.02,1040.00,1040.00,1035.00,5,40,41590.00,
934844,0MFL17      ,F ,D,1101.00,1101.00,1101.00,1101.00,1101.00,1098.66,1,40,44040.00,
934847,1050TCFS14  ,F ,D,1017.19,1022.89,1016.00,1020.00,1020.00,1020.58,22,1050,1069813.00,
934848,1050TCFS14A ,F ,D,1550.00,1577.99,1550.00,1577.25,1577.25,1575.25,10,265,415886.00,
934871,1175MFL17   ,F ,D,1011.01,1011.01,1010.00,1010.00,1010.00,1011.00,5,222,224356.00,
934872,1200MFL17   ,F ,D,973.00,973.00,973.00,973.00,973.00,982.00,2,10,9730.00,
934854,1275IIFL18  ,F ,D,1040.90,1040.90,1035.00,1037.51,1037.51,1035.00,28,1434,1488448.00,
934855,1275IIFL18A ,F ,D,1059.40,1059.40,1007.60,1025.00,1025.00,1025.00,4,550,566384.00,
934841,1300MFL14   ,F ,D,1000.05,1020.00,992.00,1003.75,1003.75,1012.53,9,155,155270.00,
934842,1325MFL15   ,F ,D,1016.00,1016.30,1016.00,1016.30,1016.30,1020.00,3,99,100590.00,
533022,20 MICRONS  ,B ,Q,30.55,31.00,30.30,30.60,30.35,30.80,127,67588,2068191.00,
526921,21ST CEN.MGM,T ,Q,3.72,3.80,3.72,3.80,3.80,3.90,7,2950,11190.00,
532628,3I INFOTECH ,B ,Q,5.69,5.69,5.20,5.31,5.35,5.34,497,115365,612274.00,
523395,3M INDIA LTD,B ,Q,3620.00,3620.00,3555.10,3555.10,3555.10,3628.40,33,61,218186.00,
961766,703HUDCO23  ,F ,B,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1,60,60000.00,
961752,719IIFCL23  ,F ,B,1027.01,1030.00,1027.01,1030.00,1030.00,1025.25,2,22,22600.00,
961751,736PFC2028  ,F ,B,1040.01,1044.00,1040.00,1044.00,1044.00,1039.50,8,550,573399.00,
961749,738REC27TF  ,F ,B,1051.96,1051.96,1050.51,1050.51,1050.51,1045.01,3,200,210318.00,
961754,740IIFCL33  ,F ,B,1048.51,1048.51,1048.00,1048.00,1048.00,1050.00,10,5105,5350138.00,
961743,793REC22    ,F ,B,1140.80,1140.80,1130.00,1130.00,1130.00,1121.80,3,87,99184.00,
590116,7SEAS TECH  ,B ,Q,9.42,9.50,8.95,8.95,8.95,9.42,3,3205,30396.00,
961732,810IRFC2327 ,F ,B,1130.50,1130.50,1130.00,1130.00,1130.00,1140.00,4,474,535665.00,
961744,812REC27    ,F ,B,1078.00,1166.00,1078.00,1165.00,1165.00,1165.55,15,1361,1584625.00,
961727,820NHAI22   ,F ,B,1129.99,1130.00,1129.99,1130.00,1130.00,1123.00,2,279,315267.00,
961729,820PFC2022  ,F ,B,1120.00,1125.00,1116.97,1117.80,1117.80,1115.50,7,600,670853.00,
961728,830NHAI27   ,F ,B,1164.00,1164.00,1164.00,1164.00,1164.00,1161.19,1,20,23280.00,
961730,830PFC2027  ,F ,B,1160.10,1161.00,1160.10,1160.99,1160.80,1160.00,7,1302,1510921.00,
961731,8IRFC230222 ,F ,B,1115.00,1115.00,1115.00,1115.00,1115.00,1103.76,1,150,167250.00,
512161,8KMILES     ,B ,Q,55.15,57.85,55.00,56.00,56.00,57.00,24,2558,142697.00,
934845,975TCFS14   ,F ,D,102500.00,102500.00,102500.00,102500.00,102500.00,102000.00,1,1,102500.00,
