SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1050.00,1050.00,1050.00,1050.00,1050.00,1003.00,1,14,14700.00,
934844,0MFL17      ,F ,D,1115.00,1115.00,1114.95,1115.00,1115.00,1115.01,5,150,167249.00,
934847,1050TCFS14  ,F ,D,1094.00,1094.00,1093.49,1093.49,1093.49,1084.99,4,48,52501.00,
934848,1050TCFS14A ,F ,D,1515.00,1515.00,1511.25,1515.00,1515.00,1515.55,6,90,136200.00,
934857,1060SCUF15A ,F ,D,1015.00,1015.00,1007.12,1007.12,1007.12,1005.05,3,100,101107.00,
934858,1075SCUF17B ,F ,D,1029.95,1029.95,1014.60,1015.79,1015.50,1025.00,12,620,630240.00,
934869,1150MFL14   ,F ,D,1010.00,1010.00,1005.00,1005.00,1005.00,1021.00,6,100,100604.00,
934871,1175MFL17   ,F ,D,1016.00,1016.00,1009.12,1010.75,1009.50,1009.00,10,95,96269.00,
934872,1200MFL17   ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,1010.00,2,200,203000.00,
934854,1275IIFL18  ,F ,D,1008.99,1009.69,1008.10,1008.38,1008.30,1007.26,21,878,885807.00,
934855,1275IIFL18A ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,1099.81,1,25,25000.00,
934841,1300MFL14   ,F ,D,1097.00,1129.00,1097.00,1129.00,1129.00,1097.00,5,60,67251.00,
934842,1325MFL15   ,F ,D,1110.50,1144.95,1110.50,1144.95,1144.95,1110.00,3,14,15989.00,
934843,1325MFL17   ,F ,D,1130.00,1135.00,1130.00,1135.00,1135.00,1125.00,3,123,139105.00,
533022,20 MICRONS  ,B ,Q,151.30,156.65,149.70,152.35,152.35,150.70,4654,1351008,207495308.00,
526921,21ST CEN.MGM,T ,Q,4.58,4.58,4.43,4.48,4.48,4.43,9,2650,11835.00,
532628,3I INFOTECH ,T ,Q,8.00,8.33,7.95,8.32,8.32,7.94,686,603137,4954213.00,
523395,3M INDIA LTD,B ,Q,4005.05,4044.95,4000.00,4029.90,4005.00,4035.00,62,147,590324.00,
961750,719PFC2023  ,F ,B,999.01,999.01,999.01,999.01,999.01,1001.01,1,5,4995.00,
961751,736PFC2028  ,F ,B,1000.00,1002.00,993.50,993.52,998.99,1001.60,18,632,629272.00,
961749,738REC27TF  ,F ,B,1000.00,1004.95,1000.00,1000.33,1000.50,1002.17,19,4404,4414063.00,
961743,793REC22    ,F ,B,1071.00,1071.00,1071.00,1071.00,1071.00,1069.01,6,60,64260.00,
590116,7SEAS TECH  ,B ,Q,16.00,16.85,15.55,16.65,16.80,16.00,12,2549,42038.00,
961732,810IRFC2327 ,F ,B,1082.01,1082.11,1082.00,1082.11,1082.11,1085.25,11,1498,1620847.00,
