SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934856,0IIFL18     ,F ,D,1061.00,1065.00,1003.00,1003.00,1003.00,1015.00,4,46,48306.00,
934844,0MFL17      ,F ,D,1121.00,1133.99,1121.00,1133.99,1133.99,1120.00,3,95,107404.00,
934847,1050TCFS14  ,F ,D,1091.00,1091.00,1091.00,1091.00,1091.00,1089.71,6,126,137466.00,
934848,1050TCFS14A ,F ,D,1532.01,1532.01,1501.00,1525.01,1525.01,1535.80,20,575,878490.00,
934857,1060SCUF15A ,F ,D,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1,5,5100.00,
934858,1075SCUF17B ,F ,D,1022.60,1030.00,1020.10,1020.10,1020.10,1020.10,5,100,102604.00,
934869,1150MFL14   ,F ,D,1001.25,1001.25,1001.25,1001.25,1001.25,1019.00,1,10,10012.00,
934871,1175MFL17   ,F ,D,1014.11,1020.00,1014.10,1017.05,1019.90,1012.40,8,455,462538.00,
934854,1275IIFL18  ,F ,D,1004.60,1006.00,1004.60,1005.05,1005.00,1004.77,12,904,908586.00,
934855,1275IIFL18A ,F ,D,1010.00,1010.00,1008.00,1008.00,1008.00,1007.68,2,30,30280.00,
934841,1300MFL14   ,F ,D,1095.00,1095.00,1095.00,1095.00,1095.00,1095.00,3,35,38325.00,
934842,1325MFL15   ,F ,D,1092.10,1101.00,1092.00,1100.00,1100.00,1105.50,6,102,111807.00,
533022,20 MICRONS  ,B ,Q,39.40,39.40,39.40,39.40,39.40,43.75,46,6102,240418.00,
526921,21ST CEN.MGM,T ,Q,5.51,5.52,5.51,5.52,5.52,5.26,14,14560,80369.00,
532628,3I INFOTECH ,T ,Q,7.49,7.49,7.25,7.37,7.40,7.32,815,462307,3409117.00,
523395,3M INDIA LTD,B ,Q,3852.00,3899.95,3830.00,3839.00,3839.00,3900.00,15,48,185118.00,
961748,722REC22TF  ,F ,B,1002.00,1002.01,1002.00,1002.00,1002.00,1002.00,22,1818,1821636.00,
961753,736IIFCL28  ,F ,B,990.01,992.50,990.00,992.50,992.50,1000.00,17,3057,3026827.00,
961751,736PFC2028  ,F ,B,998.00,998.99,994.25,998.74,998.74,998.00,15,4140,4125462.00,
961749,738REC27TF  ,F ,B,1002.00,1002.11,1002.00,1002.11,1002.11,1002.45,26,3161,3167363.00,
961754,740IIFCL33  ,F ,B,1002.25,1008.25,1002.25,1005.50,1005.50,1002.90,31,1856,1863226.00,
590116,7SEAS TECH  ,B ,Q,12.53,13.44,12.40,12.52,12.40,12.85,21,2285,28872.00,
961732,810IRFC2327 ,F ,B,1092.99,1092.99,1084.70,1084.70,1084.70,1087.10,3,200,218074.00,
961744,812REC27    ,F ,B,1102.10,1104.75,1101.60,1104.75,1104.75,1104.01,10,1110,1223457.00,
961727,820NHAI22   ,F ,B,1093.56,1096.49,1093.56,1096.49,1096.49,1098.75,25,6480,7098769.00,
961729,820PFC2022  ,F ,B,1082.10,1085.00,1082.10,1085.00,1085.00,1088.42,2,250,271105.00,
961728,830NHAI27   ,F ,B,1112.50,1112.50,1111.00,1112.00,1112.00,1109.00,3,30,33355.00,
961730,830PFC2027  ,F ,B,1101.00,1101.60,1098.25,1100.25,1099.00,1103.30,18,870,957487.00,
961731,8IRFC230222 ,F ,B,1087.00,1087.00,1083.25,1083.25,1083.25,1072.01,4,20,21702.00,
512161,8KMILES     ,T ,Q,44.90,46.60,44.00,46.55,46.60,44.40,44,20549,954635.00,
530499,A.K.CAPITAL ,B ,Q,211.00,222.95,210.25,220.05,220.05,211.50,84,2714,580809.00,
500009,A.SARABHAI  ,T ,Q,3.80,3.92,3.62,3.65,3.65,3.75,29,6963,26002.00,
533292,A2ZMES      ,B ,Q,36.85,38.50,36.50,37.60,37.60,36.85,1865,176338,6635654.00,
531611,AADHAARVEN  ,B ,Q,1.19,1.20,1.16,1.16,1.16,1.18,509,3246944,3803701.00,
530027,AADI INDUS L,B ,Q,3.75,3.75,3.47,3.47,3.47,3.47,7,496,1803.00,
533412,AANJANEYA   ,B ,Q,767.50,774.85,757.55,760.90,757.60,766.45,251,47232,36294544.00,
524412,AAREY DRUGS ,T ,Q,39.05,39.05,39.05,39.05,39.05,37.20,29,11419,445911.00,
524348,AARTI DRUGS ,T ,Q,220.75,225.00,215.30,216.05,216.05,221.10,28,738,162628.00,XD
524208,AARTI INDUST,B ,Q,90.85,92.00,88.00,90.20,90.00,90.90,129,5795,516038.00,XD
514274,AARVEE DENIM,B ,Q,68.00,68.00,59.60,59.60,59.60,74.45,446,27809,1681571.00,
531731,AARYAGLOBL  ,T ,Q,9.50,9.69,9.00,9.55,9.55,9.25,301,144885,1393051.00,
523204,ABAN OFFSHO ,B ,Q,325.05,326.55,320.90,322.50,322.50,324.70,1778,45781,14800034.00,
500002,ABB LTD.    ,A ,Q,649.95,654.50,646.05,651.60,652.80,646.65,197,3359,2188459.00,
500488,ABBOTT (I)  ,B ,Q,1416.00,1416.00,1381.55,1398.45,1400.00,1392.15,33,201,281961.00,
520123,ABC INDIA   ,B ,Q,145.00,151.75,143.95,145.00,145.00,147.95,22,17869,2679608.00,
500057,ABCIL       ,B ,Q,95.00,96.65,93.20,94.10,93.20,95.60,123,959,90926.00,
520155,ABG INFRALOG,B ,Q,106.90,106.90,98.15,98.75,99.70,101.50,25,4531,451195.00,
532682,ABG SHIPYARD,B ,Q,393.95,393.95,382.05,387.15,391.00,390.15,195,3217,1245824.00,
532831,ABHI CORP LT,B ,Q,5.80,5.80,5.75,5.75,5.75,5.80,3,3,17.00,
526955,ABL BIO-TECH,B ,Q,3.23,3.23,3.23,3.23,3.23,3.09,1,80,258.00,
531161,ABM KNOWLEDG,B ,Q,45.70,47.50,41.30,42.85,42.85,47.55,153,13942,616998.00,
532974,ABML        ,B ,Q,17.15,17.95,17.05,17.15,17.15,17.45,11,627,10776.00,
500410,ACC LTD     ,A ,Q,1309.70,1309.70,1256.65,1260.95,1260.95,1304.45,2199,25842,32937012.00,
532774,ACCEL FRONTL,B ,Q,30.05,30.10,29.40,29.75,29.75,29.95,25,25,745.00,
517494,ACCEL TRANS ,B ,Q,7.35,7.35,6.79,6.79,6.79,6.97,11,2529,17798.00,
532268,ACCELYA     ,T ,Q,365.00,371.40,363.00,368.15,368.15,375.25,101,9915,3633456.00,
531897,ACCENT TECH ,B ,Q,46.05,47.05,45.80,46.10,45.80,46.90,26,7821,363915.00,
526347,ACCLAIM IND ,T ,Q,14.45,14.45,14.45,14.45,14.45,15.20,11,37050,535372.00,
530513,ACCURATE TRA,B ,Q,29.00,31.55,27.80,28.15,31.55,30.80,10,632,17973.00,
530093,ACE INDIA LT,B ,Q,22.00,22.05,22.00,22.05,22.05,23.15,3,563,12406.00,
531525,ACE SOFTWARE,B ,Q,8.80,8.80,8.40,8.40,8.40,8.75,2,216,1894.00,
517356,ACI INFOCOM ,T ,Q,20.00,21.15,19.70,21.10,21.10,20.15,245,981654,20107308.00,
530901,ACIL        ,T ,Q,0.12,0.12,0.10,0.11,0.11,0.11,13,537013,59051.00,
530043,ACKNIT IND  ,B ,Q,24.30,26.50,24.15,26.50,26.50,25.25,19,1011,25157.00,
533330,ACROPET TEC ,B ,Q,9.29,9.29,8.80,8.89,8.89,9.14,152,43374,392783.00,
513149,ACROW INDIA ,T ,Q,95.05,95.05,91.05,91.05,91.05,95.15,4,84,7664.00,
524091,ACRYCIL LTD.,B ,Q,101.00,103.00,99.00,99.10,100.00,100.20,29,1429,144631.00,
532762,ACTION CONST,B ,Q,17.20,17.90,16.05,16.20,16.05,16.95,324,53030,867469.00,
511706,ACTION FIN. ,T ,Q,23.60,23.60,23.60,23.60,23.60,23.60,4,500,11800.00,
512599,ADANI ENTER ,A ,Q,233.30,236.65,231.45,233.10,234.00,232.40,2971,154594,36196361.00,
532921,ADANI PORTS ,A ,Q,154.80,156.40,152.10,152.95,152.95,151.40,6102,512800,78756835.00,
533096,ADANI POWER ,A ,Q,56.90,57.25,55.90,56.75,56.75,56.85,1151,204703,11591014.00,
526711,ADARSH PLANT,B ,Q,3.62,3.62,3.62,3.62,3.62,3.81,2,850,3077.00,
523411,ADCINDIA    ,B ,Q,160.00,170.00,156.60,157.05,156.60,154.15,11,10532,1770614.00,
507852,ADDI IND.   ,T ,Q,5.08,5.08,5.08,5.08,5.08,5.34,1,5,25.00,
519183,ADF FOODS LT,B ,Q,60.40,61.00,57.50,57.90,57.90,60.10,296,4983,291761.00,
532727,ADHUNIK MET ,B ,Q,38.00,39.50,38.00,38.85,39.00,36.80,624,58823,2282023.00,
500303,ADI BIR NUVO,A ,Q,1073.00,1075.00,1056.30,1058.70,1061.90,1062.55,1721,31642,33619772.00,
531592,ADI RASAYAN ,T ,Q,14.72,14.72,14.72,14.72,14.72,14.02,1,500,7360.00,
530117,ADIFINCHM   ,B ,Q,55.10,59.75,55.10,57.80,58.00,58.65,19,4176,240798.00,
590088,ADINATH BIO ,B ,Q,0.40,0.40,0.40,0.40,0.40,0.42,21,100465,40186.00,
522150,ADITYA FORGE,B ,Q,5.96,5.96,5.96,5.96,5.96,6.27,2,700,4172.00,
513513,ADITYA ISPAT,B ,Q,3.84,3.95,3.80,3.90,3.95,3.77,7,360,1383.00,
511359,AD-MANUM FIN,B ,Q,37.40,37.40,34.00,34.00,34.00,35.75,16,1896,64786.00,
530431,ADOR FONTECH,B ,Q,77.00,78.00,77.00,77.55,77.55,78.30,21,4343,338424.00,
