SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934847,1050TCFS14  ,F ,D,1011.11,1021.00,1011.11,1015.20,1015.20,1012.93,15,309,313402.00,
934848,1050TCFS14A ,F ,D,1556.62,1558.45,1556.62,1558.45,1558.45,1558.35,3,14,21808.00,
934857,1060SCUF15A ,F ,D,995.00,998.00,995.00,995.00,995.00,983.70,3,30,29880.00,
934869,1150MFL14   ,F ,D,1089.00,1090.00,960.01,960.01,960.01,956.05,3,53,51269.00,
934871,1175MFL17   ,F ,D,1010.00,1015.00,1010.00,1014.99,1015.00,1007.20,3,151,153259.00,
934854,1275IIFL18  ,F ,D,1007.01,1007.03,1005.05,1007.00,1007.00,1006.24,11,446,449063.00,
934855,1275IIFL18A ,F ,D,995.00,995.00,995.00,995.00,995.00,1008.00,1,20,19900.00,
934841,1300MFL14   ,F ,D,1009.95,1009.95,1003.00,1004.00,1003.00,1007.90,3,20,20139.00,
934842,1325MFL15   ,F ,D,1024.90,1025.00,1005.00,1009.48,1012.00,1006.01,10,155,157729.00,
934843,1325MFL17   ,F ,D,1000.15,1005.00,1000.15,1005.00,1005.00,1005.00,3,28,28052.00,
533022,20 MICRONS  ,B ,Q,31.25,31.40,30.25,30.45,30.55,30.50,122,35528,1085240.00,
526921,21ST CEN.MGM,T ,Q,4.52,4.52,4.52,4.52,4.52,4.75,5,1000,4520.00,
532628,3I INFOTECH ,B ,Q,5.97,6.00,5.75,5.79,5.75,5.84,301,113772,666981.00,
523395,3M INDIA LTD,B ,Q,3412.00,3488.95,3387.15,3399.25,3400.00,3441.10,45,194,660865.00,
961755,718IRFC2023 ,F ,B,1018.00,1018.00,1017.60,1018.00,1018.00,1015.00,33,500,508976.00,
961752,719IIFCL23  ,F ,B,1000.25,1000.25,1000.25,1000.25,1000.25,999.20,3,105,105026.00,
961750,719PFC2023  ,F ,B,1010.00,1010.00,1010.00,1010.00,1010.00,1019.00,1,20,20200.00,
961748,722REC22TF  ,F ,B,1014.00,1014.00,1014.00,1014.00,1014.00,1013.00,3,200,202800.00,
961764,734HUDCO23  ,F ,B,976.15,976.15,976.15,976.15,976.15,1199.99,1,20,19523.00,
961756,734IRFC2028 ,F ,B,1019.89,1019.89,1005.25,1005.25,1005.25,1005.00,5,181,181964.00,
961753,736IIFCL28  ,F ,B,1012.00,1015.00,1012.00,1015.00,1015.00,1007.00,2,101,102215.00,
961751,736PFC2028  ,F ,B,1007.25,1008.00,1007.25,1008.00,1008.00,1007.00,2,700,705337.00,
961749,738REC27TF  ,F ,B,1020.01,1020.01,1020.01,1020.01,1020.01,1020.00,8,1578,1609575.00,
961754,740IIFCL33  ,F ,B,1023.00,1023.00,1020.00,1020.00,1020.00,1022.95,3,1600,1636500.00,
961765,751HUDCO28  ,F ,B,1005.00,1006.00,1005.00,1006.00,1006.00,1005.00,2,4,4022.00,
961743,793REC22    ,F ,B,1097.01,1109.75,1097.00,1103.64,1109.75,1107.97,41,3630,3989864.00,
590116,7SEAS TECH  ,B ,Q,12.08,12.08,12.08,12.08,12.08,12.70,1,100,1208.00,
961732,810IRFC2327 ,F ,B,1102.00,1102.00,1098.25,1098.37,1098.25,1102.00,6,565,620788.00,
961744,812REC27    ,F ,B,1125.00,1134.00,1125.00,1130.00,1130.00,1125.00,42,3259,3685341.00,
961727,820NHAI22   ,F ,B,1101.00,1104.70,1098.25,1101.85,1100.70,1101.15,6,330,362641.00,
961729,820PFC2022  ,F ,B,1096.50,1101.75,1096.50,1100.00,1100.00,1097.50,7,632,695285.00,
961730,830PFC2027  ,F ,B,1120.00,1124.00,1120.00,1122.10,1122.10,1118.15,14,1782,1999967.00,
512161,8KMILES     ,B ,Q,52.50,52.85,51.00,51.95,51.95,53.50,48,10489,545382.00,
934845,975TCFS14   ,F ,D,100100.00,100400.00,100100.00,100400.00,100400.00,100799.00,3,3,300900.00,
530499,A.K.CAPITAL ,B ,Q,156.25,160.00,148.00,151.30,148.00,158.25,44,2062,317267.00,
500009,A.SARABHAI  ,B ,Q,2.99,2.99,2.99,2.99,2.99,2.85,4,2431,7268.00,
533292,A2ZMES      ,B ,Q,22.15,22.15,20.20,20.20,20.20,21.25,1004,161509,3396525.00,
531611,AADHAARVEN  ,B ,Q,0.61,0.61,0.61,0.61,0.61,0.59,21,61932,37778.00,
530027,AADI INDUS L,B ,Q,3.36,4.35,3.17,4.15,4.15,3.95,11,5108,17149.00,
533412,AANJANEYA   ,B ,Q,92.40,92.40,92.40,92.40,92.40,97.25,39,4300,397320.00,
524412,AAREY DRUGS ,B ,Q,14.35,14.35,14.35,14.35,14.35,14.60,33,65246,936280.00,
524348,AARTI DRUGS ,B ,Q,158.50,162.45,157.45,159.35,159.50,158.30,136,3852,614279.00,
524208,AARTI INDUST,B ,Q,80.00,82.00,80.00,81.65,80.20,80.65,53,3168,256724.00,
514274,AARVEE DENIM,B ,Q,35.50,35.50,34.60,34.65,34.60,35.40,7,225,7841.00,
531731,AARYAGLOBL  ,T ,Q,10.03,10.09,9.89,10.01,10.01,10.03,276,162246,1627194.00,
523204,ABAN OFFSHO ,B ,Q,270.00,273.50,264.20,265.15,265.15,268.15,1436,41533,11175543.00,
700099,ABANOFFSH   ,B ,P,265.00,265.00,265.00,265.00,265.00,310.00,1,30,7950.00,
500002,ABB LTD.    ,A ,Q,493.00,496.00,477.15,479.60,480.00,486.60,709,7598,3687287.00,
500488,ABBOTT (I)  ,B ,Q,1370.00,1383.10,1355.10,1362.40,1362.40,1362.75,58,379,517185.00,
520123,ABC INDIA   ,B ,Q,139.00,139.00,139.00,139.00,139.00,140.00,4,4000,556000.00,
520155,ABG INFRALOG,B ,Q,54.05,54.05,54.05,54.05,54.05,55.00,2,400,21620.00,
532682,ABG SHIPYARD,B ,Q,323.00,327.00,311.20,316.45,316.45,322.85,610,19909,6380248.00,
532831,ABHI CORP LT,T ,Q,4.35,4.35,4.35,4.35,4.35,4.50,1,1,4.00,
532974,ABML        ,B ,Q,19.85,19.85,19.50,19.85,19.85,18.95,205,37104,735416.00,
500410,ACC LTD     ,A ,Q,1139.00,1161.00,1128.05,1131.65,1131.65,1127.90,1101,17499,20039828.00,
532774,ACCEL FRONTL,B ,Q,32.70,33.80,29.25,30.00,30.00,30.10,664,16911,536470.00,
532268,ACCELYA     ,B ,Q,358.00,358.00,344.15,349.40,349.90,356.90,50,1327,465470.00,
531897,ACCENT TECH ,B ,Q,39.00,39.50,37.80,37.80,37.80,38.35,76,15802,612347.00,
526347,ACCLAIM IND ,B ,Q,9.68,9.68,8.87,8.87,8.87,9.33,57,40918,385667.00,
530901,ACIL        ,B ,Q,0.09,0.10,0.09,0.09,0.10,0.09,30,30683,3052.00,
533330,ACROPET TEC ,B ,Q,6.02,6.50,6.00,6.20,6.20,6.19,76,6497,40346.00,
524091,ACRYCIL LTD.,B ,Q,87.50,87.50,87.50,87.50,87.50,86.70,4,377,32987.00,
532762,ACTION CONST,B ,Q,13.50,13.50,12.80,12.92,12.98,13.38,306,89977,1190294.00,
511706,ACTION FIN. ,B ,Q,20.90,20.90,20.90,20.90,20.90,19.95,5,160,3344.00,
512599,ADANI ENTER ,A ,Q,212.05,217.85,207.75,209.55,209.55,210.50,5005,279691,59585206.00,
532921,ADANI PORTS ,A ,Q,145.00,147.45,144.15,144.60,144.60,143.60,1335,104982,15277317.00,
533096,ADANI POWER ,A ,Q,47.20,49.20,46.55,46.75,46.75,46.55,6882,1705657,82035472.00,
519183,ADF FOODS LT,B ,Q,50.00,51.00,49.75,50.05,49.75,50.00,60,3155,158358.00,
532727,ADHUNIK MET ,B ,Q,31.35,31.60,29.50,29.70,29.50,30.70,161,8150,247825.00,
500303,ADI BIR NUVO,A ,Q,944.00,955.05,939.00,941.10,941.10,937.45,876,11115,10536552.00,
530117,ADIFINCHM   ,B ,Q,58.00,61.80,58.00,60.00,60.00,58.00,3,4,237.00,
590088,ADINATH BIO ,B ,Q,0.28,0.28,0.28,0.28,0.28,0.27,20,77685,21751.00,
511359,AD-MANUM FIN,B ,Q,31.95,31.95,31.95,31.95,31.95,30.45,1,5,159.00,
530431,ADOR FONTECH,B ,Q,71.00,71.45,70.00,71.00,71.00,71.05,28,16295,1155643.00,
517041,ADORWELDING ,B ,Q,117.00,117.00,115.00,115.00,115.00,114.00,12,63,7280.00,
512149,ADVANCE TECH,B ,Q,0.12,0.12,0.11,0.12,0.12,0.12,151,3700217,410881.00,
517552,ADVANCED MIC,B ,Q,19.05,19.05,19.05,19.05,19.05,18.95,3,1020,19431.00,
532840,ADVANTA     ,B ,Q,954.90,964.90,932.00,939.15,949.85,948.05,105,674,638040.00,
531429,ADVENT COMP.,B ,Q,2.39,2.39,2.10,2.10,2.10,2.00,2,130,302.00,
500003,AEGIS LOGIS ,B ,Q,125.00,128.00,123.65,124.65,124.65,124.40,386,3210,404540.00,
503655,AEONIAN PUB ,B ,Q,164.10,165.15,164.10,165.15,165.15,162.00,17,669,110405.00,
530707,AFTEK LTD   ,B ,Q,5.80,5.80,5.36,5.39,5.36,5.42,84,19395,106290.00,
531921,AGAR IND COR,B ,Q,144.00,157.00,142.00,142.10,142.10,142.05,76,4740,680385.00,
500463,AGCNET      ,B ,Q,114.70,114.70,108.50,109.20,108.50,112.00,37,951,104877.00,
519281,AGRO DUTCH I,B ,Q,2.80,2.85,2.66,2.70,2.70,2.75,23,2285,6310.00,
500215,AGRO TECH FO,B ,Q,490.05,499.95,490.00,496.95,498.45,493.60,91,2402,1191479.00,
532811,AHLUWALIA CO,B ,Q,34.85,34.85,32.15,33.30,33.35,33.30,255,7118,237054.00,
513335,AHMED.FORG  ,B ,Q,101.25,103.65,99.90,100.25,100.25,101.25,41,199,19950.00,
532806,AI CHAMPDNY ,T ,Q,21.30,21.30,20.90,20.90,20.90,20.50,2,6,125.00,
532683,AIAENGINEER ,B ,Q,310.00,311.00,310.00,310.00,310.00,310.00,10,10409,3236790.00,
532309,AIL         ,B ,Q,318.00,322.00,313.10,313.95,313.95,320.10,80,618,196001.00,
532975,AISHWARYA TE,B ,Q,5.00,5.00,5.00,5.00,5.00,4.91,41,48170,240850.00,
532331,AJANTA PHARM,B ,Q,765.00,781.70,717.15,725.20,725.20,764.60,3708,57509,43186001.00,
511692,AJCON GLOBAL,B ,Q,15.80,17.00,15.50,16.10,15.70,15.65,65,13250,212363.00,
530713,AJEL        ,B ,Q,4.91,4.91,4.89,4.89,4.89,4.69,2,40,196.00,
513349,AJMERA      ,B ,Q,95.00,96.95,93.20,93.20,93.20,94.20,18,317,29901.00,
532351,AKSH OPTIFIB,B ,Q,17.40,18.00,17.40,17.85,17.85,17.65,141,19448,346008.00,
500710,AKZOINDIA   ,B ,Q,1007.00,1031.50,991.25,1003.40,1005.00,1004.75,178,4603,4636367.00,
531517,ALANG INDS. ,T ,Q,112.00,112.15,109.05,110.20,112.15,110.05,7,160,17634.00,
524075,ALBERT DAVID,B ,Q,92.45,94.00,92.45,93.00,93.00,93.35,5,172,16068.00,
